Component 00000000037555,00011-37555,00006-00010-63125,578140679-037555,1343111266-037555,2108081853-0037555,98250326-037555,568364685-00037555,789506856-037555,263446952-0000037555
Component 00000000095897,00002-00004-00009-95897,00004-00003-00007-90604,1185624035-095897,1188441094-095897,1191258153-0095897,248509573-095897,234424278-00095897,1320842867-095897,1158879324-0000095897
Component 00000000057370,00005-00001-57370,00002-00002-247,804121680-057370,2014742477-057370,1077879627-0057370,463430042-057370,852776998-00057370,931861467-057370,233461749-0000057370
Component 00000000051783,00003-00004-00004-51783,00006-00010-90880,1312778095-051783,1250165403-051783,1187552711-0051783,423546180-051783,736609640-00051783,454852526-051783,274128254-0000051783
Component 00000000020921,00001-00005-00004-20921,00004-00001-00008-91554,1494602463-020921,387441077-020921,1427763338-0020921,1484366417-020921,577722406-00020921,2037947110-020921,305246908-0000020921
Component 00000000009551,00001-00003-00009-9551,00002-00005-00003-13172,1715179195-009551,1594667294-009551,1474155393-0009551,1239061114-009551,1841620619-00009551,225575241-009551,1757092281-0000009551
Component 00000000015535,00002-15535,00003-00005-00008-64293,1497998935-015535,1434513522-015535,1371028109-0015535,1640181875-015535,1957608940-00015535,598182758-015535,1388870512-0000015535
Component 00000000122422,00002-00006-00001-122422,00002-00006-00011-92077,2120397538-122422,274516972-122422,576120053-0122422,642019614-122422,1281487856-00122422,1564959897-122422,1322828219-0000122422
Component 00000000078251,00001-00005-00004-78251,00001-00006-00012-90726,20012257-078251,901139391-078251,1782266525-0078251,1952488963-078251,1841820587-00078251,1511925396-078251,1770348831-0000078251
Component 00000000045689,00004-00007-45689,00002-00004-00011-43782,1246905104-045689,1711022651-045689,27656551-0045689,1208027840-045689,1034923752-00045689,2049710890-045689,309735996-0000045689
Component 00000000041421,00001-00002-00003-41421,00004-00006-00012-47774,556084286-041421,1569437535-041421,435307137-0041421,1385334805-041421,613535854-00041421,1952400004-041421,1455960488-0000041421
Component 00000000066965,00003-00002-66965,00008-21770,1857309925-066965,1617966687-066965,1378623449-0066965,986581117-066965,35813660-00066965,1106252736-066965,2046979816-0000066965
Component 00000000106934,00004-00002-00009-106934,,1124962137-106934,539437313-106934,2101396136-0106934,644295584-106934,1424436057-00106934,937057996-106934,713751212-0000106934
Component 00000000075457,00002-00004-00005-75457,00003-00003-00005-12498,1840226065-075457,1662007980-075457,1483789895-0075457,712841707-075457,1603932132-00075457,1875692573-075457,1179673208-0000075457
Component 00000000011215,00001-00009-11215,00001-00012-66871,133329726-011215,935374584-011215,1737419442-0011215,377799693-011215,662542697-00011215,2124260911-011215,1328138180-0000011215
Component 00000000037013,00003-00004-00002-37013,00001-00004-00002-59581,1679995421-037013,1545286295-037013,1410577169-0037013,1589053751-037013,115115734-00037013,1656408314-037013,833585402-0000037013
Component 00000000005509,00004-00010-5509,00002-00001-00010-30612,529070370-005509,1491146274-005509,305738531-0005509,2092595127-005509,1577182901-00005509,1611557175-005509,1852152726-0000005509
Component 00000000063097,00002-00006-00008-63097,00004-00006-00005-37029,438883432-063097,1774490389-063097,962613699-0063097,1865053260-063097,1629469416-00063097,123507958-063097,623931558-0000063097
Component 00000000094810,00002-00001-94810,00002-00005-60177,1546955690-094810,1831297224-094810,2115638758-0094810,305134560-094810,1030910537-00094810,162963793-094810,634539111-0000094810
Component 00000000039858,00003-39858,00004-00001-00011-4054,350027099-039858,1001463597-039858,1652900095-0039858,1879926194-039858,770227351-00039858,1554207945-039858,928394099-0000039858
Component 00000000043608,00003-00005-00006-43608,00002-00011-109055,2066957995-043608,1394430296-043608,721902597-0043608,587877475-043608,1803032323-00043608,1997883148-043608,520968488-0000043608
Component 00000000098547,00002-00001-00007-98547,00001-00003-00008-41296,1007780507-098547,2091079569-098547,1026894984-0098547,2008177486-098547,886649470-00098547,1466527955-098547,935511516-0000098547
Component 00000000012960,00003-00012-12960,00001-00004-00012-115686,887335236-012960,1427165526-012960,1966995816-0012960,1299300537-012960,747632734-00012960,1029385392-012960,665635423-0000012960
Component 00000000001975,00001-00012-1975,00005-00011-55235,1146470721-001975,1906035826-001975,518117284-0001975,404414491-001975,901556260-00001975,1098373762-001975,1729144691-0000001975
Component 00000000081218,00003-00004-00007-81218,00005-00011-50230,86558937-081218,1265062112-081218,296081640-0081218,335646279-081218,885581345-00081218,820136515-081218,1943083385-0000081218
Component 00000000027688,00003-00003-00011-27688,00003-00006-00011-33928,1708823984-027688,2026474379-027688,196641127-0027688,1008740789-027688,1567972461-00027688,1923657415-027688,1184444485-0000027688
Component 00000000027312,00002-00005-00012-27312,00002-00003-00010-23397,1519335508-027312,978606162-027312,437876816-0027312,1063765991-027312,1619929074-00027312,1334130664-027312,2066898522-0000027312
Component 00000000024408,00003-00006-00007-24408,00002-00001-00001-65612,1729272818-024408,1014683799-024408,300094780-0024408,357701925-024408,1783163373-00024408,1788738258-024408,1164423183-0000024408
Component 00000000018852,00002-00001-00002-18852,00006-00002-33620,998577819-018852,138203153-018852,1425312134-0018852,72595811-018852,79501847-00018852,502783144-018852,1883461233-0000018852
Component 00000000091728,00003-91728,00001-00011-97420,1940510351-091728,1983698892-091728,2026887433-0091728,813929119-091728,597986414-00091728,1866076672-091728,1230190637-0000091728
Component 00000000059441,00001-00004-00005-59441,00001-00002-00008-81986,1113582758-059441,658283041-059441,202983324-0059441,1580124777-059441,1709139715-00059441,734032812-059441,2034795834-0000059441
Component 00000000078493,00003-00002-00012-78493,00004-00004-00005-97479,1467685871-078493,1091274739-078493,714863607-0078493,391615145-078493,126187158-00078493,579820711-078493,1956870734-0000078493
Component 00000000045354,00004-00001-00010-45354,00003-00004-00003-34388,557090307-045354,1076501795-045354,1595913283-0045354,2126227358-045354,1676653565-00045354,1866521614-045354,636404894-0000045354
Component 00000000088790,00002-88790,00004-00011-15169,1066781381-088790,1766629394-088790,318993760-0088790,1723413483-088790,371657065-00088790,299747653-088790,2051207252-0000088790
Component 00000000099715,00005-99715,00004-00004-00011-73994,2142330693-099715,1235571475-099715,328812257-0099715,1114181560-099715,1353010356-00099715,1567561169-099715,1685985145-0000099715
Component 00000000045207,00002-00001-00006-45207,00004-00006-00010-30274,1672322572-045207,199556900-045207,874274875-0045207,1110147831-045207,2031525250-00045207,1846530667-045207,2031521258-0000045207
Component 00000000011844,00004-00001-11844,00004-00004-00007-84494,905389100-011844,159763780-011844,1561622107-0011844,1249783079-011844,682942385-00011844,1622595739-011844,1941969453-0000011844
Component 00000000077825,00006-00007-77825,00004-00001-00008-78814,1355726945-077825,2064674191-077825,626137790-0077825,1379930024-077825,2130161088-00077825,1025456401-077825,1809196787-0000077825
Component 00000000037450,00010-37450,00002-00005-60177,1616702268-037450,909412663-037450,202123058-0037450,599152954-037450,1988117332-00037450,2026539580-037450,194668808-0000037450
Component 00000000027647,00002-00004-00009-27647,00003-00005-00007-32793,1690842909-027647,158111452-027647,772863642-0027647,1441553066-027647,515275763-00027647,1134176971-027647,1157703819-0000027647
Component 00000000099294,00004-00006-99294,00003-00001-00011-62203,756390480-099294,1529337784-099294,154801441-0099294,1737112725-099294,19859852-00099294,1350639073-099294,340193230-0000099294
Component 00000000113038,00003-00002-00003-113038,00004-00003-00010-76359,742571334-113038,439620067-113038,136668800-0113038,8078590-113038,1522834925-00113038,1233296047-113038,676218740-0000113038
Component 00000000118726,00001-00006-00010-118726,00004-00005-00012-112124,1641640594-118726,250128776-118726,1006100605-0118726,725310478-118726,1240418627-00118726,1421066387-118726,565706403-0000118726
Component 00000000100826,00001-00005-00011-100826,00001-00003-00005-15501,99605799-100826,343648931-100826,587692063-0100826,1198279466-100826,2125547453-00100826,1076257900-100826,336614233-0000100826
Component 00000000118077,00002-00001-00011-118077,00003-00012-93950,1848614082-118077,355019795-118077,1008909155-0118077,1349993337-118077,228030184-00118077,1023048657-118077,1564085882-0000118077
Component 00000000073606,00001-00001-73606,00003-00010-84185,186385625-073606,882430550-073606,1578475475-0073606,658567959-073606,1473310628-00073606,1384287320-073606,2027763454-0000073606
Component 00000000110899,00004-00005-00009-110899,00003-00003-00004-16488,529956593-110899,890115507-110899,1250274421-0110899,817794746-110899,1164483823-00110899,637715289-110899,181049515-0000110899
Component 00000000001595,00006-00009-1595,00002-00001-00009-44612,1919642760-001595,780710788-001595,1789262463-0001595,368533293-001595,1768225859-00001595,937999279-001595,1912763700-0000001595
Component 00000000065448,00003-00005-00006-65448,00002-00001-00009-102852,1805459084-065448,448261780-065448,1238548123-0065448,405899250-065448,749434829-00065448,1084497902-065448,1499707429-0000065448
Component 00000000097764,00004-00002-00004-97764,00004-00003-19344,1965098790-097764,493089036-097764,1168562929-0097764,1439586072-097764,209700254-00097764,28107302-097764,1991655502-0000097764
Component 00000000011071,00001-00004-00008-11071,00003-00002-62818,848581553-011071,1481683640-011071,2114785727-0011071,415519891-011071,1544976750-00011071,1172710671-011071,434813077-0000011071
Component 00000000059015,00005-00008-59015,00003-46270,714810206-059015,2117516971-059015,1372740089-0059015,1100353428-059015,529270544-00059015,1472741869-059015,1035275467-0000059015
Component 00000000064020,00005-00008-64020,00003-00002-00006-62848,531252778-064020,93803338-064020,1803837545-0064020,789791408-064020,829554961-00064020,1008516128-064020,679057903-0000064020
Component 00000000112424,00004-00004-112424,00003-00006-59195,1487518876-112424,156596360-112424,973157491-0112424,1362286260-112424,1574447899-00112424,2027747518-112424,1839573658-0000112424
Component 00000000110004,00004-00006-00011-110004,00001-00001-115011,1092500220-110004,614227536-110004,135954852-0110004,1518595163-110004,1762474936-00110004,1757731505-110004,560987267-0000110004
Component 00000000058451,00001-00001-00003-58451,00004-00004-00004-30489,38365928-058451,2071625909-058451,1957402243-0058451,940969068-058451,1512087398-00058451,998080901-058451,577662606-0000058451
Component 00000000103207,00002-00006-103207,00004-00004-00004-48234,608135485-103207,759388909-103207,910642333-0103207,1501475608-103207,745208488-00103207,1425848896-103207,1889058184-0000103207
Component 00000000013979,00004-00004-13979,00004-00007-20664,121899302-013979,1501130362-013979,732877775-0013979,442612655-013979,2136391943-00013979,1900480772-013979,951462186-0000013979
Component 00000000054146,00001-00001-00001-54146,00002-00005-33467,850709894-054146,205412820-054146,1707599393-0054146,1766056510-054146,697574586-00054146,2088705047-054146,233992214-0000054146
Component 00000000077411,00001-00005-00009-77411,00004-00002-00012-67209,1466175598-077411,923569590-077411,380963582-0077411,919587974-077411,1485134367-00077411,1190890978-077411,1015777974-0000077411
Component 00000000062928,00003-00005-00008-62928,00002-00008-32300,960219169-062928,679237559-062928,398255949-0062928,217512966-062928,1622421016-00062928,358003771-062928,1525378514-0000062928
Component 00000000044994,00004-00005-00001-44994,00003-00005-00004-24288,1762580484-044994,547056832-044994,1479016827-0044994,791741831-044994,426909150-00044994,1399503657-044994,1880762083-0000044994
Component 00000000030294,00004-00005-00004-30294,00001-00002-00007-106906,811270968-030294,695943749-030294,580616530-0030294,586609964-030294,1163246059-00030294,1718015397-030294,1993464148-0000030294
Component 00000000089723,00003-00004-00010-89723,00001-00003-00008-41296,1903379933-089723,1649571907-089723,1395763881-0089723,331108907-089723,1600149037-00089723,458012920-089723,867617896-0000089723
Component 00000000055986,00001-00008-55986,00004-00004-00003-84984,293030081-055986,224846025-055986,156661969-0055986,1281070659-055986,1621990939-00055986,1315162687-055986,1508044809-0000055986
Component 00000000039446,00001-00001-00004-39446,00001-00005-00009-116086,777472257-039446,1218715378-039446,1659958499-0039446,1776668979-039446,1717937021-00039446,482305595-039446,2012156120-0000039446
Component 00000000067191,00001-00005-00007-67191,1436259974,782437794-067191,1633598133-067191,337274825-0067191,187783119-067191,226948718-00067191,835944773-067191,135034273-0000067191
Component 00000000071905,00001-00002-71905,00003-00002-00001-99178,1396192971-071905,2087489358-071905,631302098-0071905,1638071212-071905,329072924-00071905,218681195-071905,939858824-0000071905
Component 00000000023904,00004-00006-00010-23904,00004-00006-51519,220153931-023904,1014581662-023904,1809009393-0023904,1168935062-023904,1491763701-00023904,1845463020-023904,299477785-0000023904
Component 00000000018676,00001-00008-18676,00002-00005-00012-28677,1700617365-018676,1314176946-018676,927736527-0018676,1211868043-018676,996586491-00018676,331346429-018676,1162890885-0000018676
