Component 00000000100845,00003-00004-100845,00001-00005-105586,1822714957-100845,1730216547-100845,1637718137-0100845,1631509366-100845,2094001416-00100845,1677758571-100845,1658619258-0000100845
Component 00000000079247,00002-00012-79247,00002-00001-00003-118602,1555424689-079247,1528666225-079247,1501907761-0079247,257639185-079247,391431505-00079247,271018417-079247,785865063-0000079247
Component 00000000105831,00001-00005-00011-105831,00004-00007-121674,182524496-105831,699752869-105831,1216981242-0105831,572038646-105831,133380428-00105831,1387166283-105831,1377030180-0000105831
Component 00000000025141,00001-00004-00012-25141,00003-00006-00006-86183,1691760136-025141,1576347774-025141,1460935412-0025141,389227873-025141,966289683-00025141,446934054-025141,1124349857-0000025141
Component 00000000066580,00003-00007-66580,00003-00003-00008-10993,2096613994-066580,1071487455-066580,46360916-0066580,696358910-066580,1527024311-00066580,135180356-066580,2104747036-0000066580
Component 00000000104256,00001-00005-00009-104256,00001-00006-77616,1637121141-104256,630334335-104256,1771031176-0104256,52601284-104256,791568020-00104256,555994687-104256,342229559-0000104256
Component 00000000053820,00004-53820,00004-00005-00004-24379,227609755-053820,134491984-053820,41374213-0053820,1080106979-053820,1545695834-00053820,52924041-053820,1978061598-0000053820
Component 00000000121437,00002-00001-00004-121437,00005-00008-64475,1811572852-121437,2040206069-121437,121355639-0121437,1089123818-121437,2093441380-00121437,2048549033-121437,879134151-0000121437
Component 00000000071167,00002-00005-00005-71167,00001-00004-00011-15936,1487163980-071167,2136704114-071167,638760601-0071167,777605774-071167,1824872398-00071167,452835707-071167,1852338630-0000071167
Component 00000000058689,00004-00001-00007-58689,00001-00002-00010-37151,943771285-058689,1893232780-058689,695210628-0058689,821755382-058689,369415201-00058689,1420766458-058689,104310140-0000058689
Component 00000000093514,00004-00001-00005-93514,00004-00005-00008-23889,958948803-093514,1320422855-093514,1681896907-0093514,1310571149-093514,1650684536-00093514,1129834123-093514,1199826038-0000093514
Component 00000000006845,00006-00007-6845,00003-68068,1912734143-006845,1090352271-006845,267970399-0006845,681918997-006845,498861063-00006845,1093109933-006845,1532071523-0000006845
Component 00000000048158,00003-00005-00006-48158,00002-00003-112892,664079786-048158,1369967543-048158,2075855300-0048158,1613639472-048158,231684334-00048158,186953770-048158,1131072930-0000048158
Component 00000000058791,00001-00005-00005-58791,00001-00001-00005-40006,551125084-058791,1068011407-058791,1584897730-0058791,924049809-058791,487101841-00058791,1739348471-058791,1038608794-0000058791
Component 00000000090225,00002-00005-90225,00003-00002-00004-55358,517531581-090225,1510375029-090225,355734830-0090225,1425798575-090225,756548629-00090225,929376851-090225,738999799-0000090225
Component 00000000096318,00003-00005-00001-96318,00003-00004-00005-102393,1776959777-096318,1920722883-096318,2064485989-0096318,159535830-096318,1588203947-00096318,87654277-096318,40530842-0000096318
Component 00000000002154,00004-00005-00009-2154,00002-60270,874511076-002154,170342659-002154,1613657889-0002154,8339380-002154,1381697818-00002154,1434165412-002154,1477543383-0000002154
Component 00000000024905,00006-00010-24905,00012-79520,400377192-024905,1156600204-024905,1912823216-0024905,569971275-024905,1083823509-00024905,191859769-024905,297648769-0000024905
Component 00000000015326,00001-00003-00012-15326,00003-00006-00006-58428,1623663799-015326,1614539787-015326,1605415775-0015326,1181149217-015326,1226769277-00015326,1185711223-015326,1852383346-0000015326
Component 00000000098973,00003-00004-98973,00003-00001-00012-53208,813484692-098973,1052855485-098973,1292226278-0098973,611808094-098973,1562437776-00098973,1565864521-098973,1872324995-0000098973
Component 00000000038997,00002-00010-38997,00002-103467,1548456191-038997,1338404284-038997,1128352377-0038997,1024615113-038997,2074874648-00038997,55899243-038997,1308778957-0000038997
Component 00000000024934,00004-24934,00004-00003-00009-80349,1757585661-024934,356817766-024934,1103533518-0024934,1466077634-024934,2027466168-00024934,1092719758-024934,1435233946-0000024934
Component 00000000011271,00001-00001-11271,00001-00002-68406,757366021-011271,1000876610-011271,1244387199-0011271,756469529-011271,1686400231-00011271,1708456058-011271,1169697750-0000011271
Component 00000000016008,00003-00006-00005-16008,00004-00006-00005-77524,1681248167-016008,1526891358-016008,1372534549-0016008,1711135695-016008,335436093-00016008,714572276-016008,2024100496-0000016008
Component 00000000065702,00002-65702,00005-00008-109975,2024372938-065702,929672682-065702,1982456073-0065702,471018050-065702,1649552036-00065702,1018368178-065702,1557660896-0000065702
Component 00000000116658,00003-00003-00009-116658,00001-00006-00011-54221,1397770911-116658,2121365243-116658,697475928-0116658,2132357661-116658,661869648-00116658,1770560495-116658,1814441212-0000116658
Component 00000000036787,00002-00002-00010-36787,00003-00002-00003-41603,1219149465-036787,1185702861-036787,1152256257-0036787,1744472818-036787,1911705838-00036787,1761196120-036787,1202826966-0000036787
Component 00000000107277,00002-00002-00001-107277,00001-00003-38626,1223551241-107277,539758803-107277,2003450012-0107277,271872703-107277,1543351246-00107277,613768922-107277,1515004479-0000107277
Component 00000000048512,00002-00002-00009-48512,00004-00003-00002-122839,1461899944-048512,126203051-048512,937989805-0048512,31368220-048512,267401744-00048512,1772958490-048512,1575710988-0000048512
Component 00000000000354,00004-00004-00003-354,00003-9828,1713509951-000354,1496254055-000354,1278998159-0000354,1914017230-000354,852813063-00000354,2022645178-000354,499437040-0000000354
Component 00000000054946,00001-00003-00008-54946,00004-00005-00005-55879,744435812-054946,484752312-054946,225068812-0054946,1034687944-054946,185621797-00054946,1164529694-054946,1488937798-0000054946
Component 00000000073603,00003-00005-00010-73603,00004-00003-00010-84094,685524913-073603,1589008564-073603,345008568-0073603,481067223-073603,258616262-00073603,1103067221-073603,897582987-0000073603
Component 00000000037898,00003-00003-37898,00004-00004-00012-72734,1261132602-037898,753291818-037898,245451034-0037898,253174695-037898,644894968-00037898,507095087-037898,2127243497-0000037898
Component 00000000024381,00001-00006-24381,00004-00005-00004-64874,952943458-024381,1427934806-024381,1902926154-0024381,367703719-024381,140230626-00024381,130208045-024381,195769608-0000024381
Component 00000000101261,00001-00006-00004-101261,00003-00003-00006-117253,1339125151-101261,819278895-101261,299432639-0101261,1896385499-101261,200649485-00101261,8824980-101261,1215336088-0000101261
Component 00000000103221,00001-00006-00001-103221,00002-00001-00008-48602,1098507842-103221,1038849601-103221,979191360-0103221,1426308624-103221,1724599829-00103221,382395921-103221,1132250404-0000103221
Component 00000000053128,00003-00005-00010-53128,00001-00006-00010-4976,145923800-053128,1438952323-053128,584497199-0053128,1654523226-053128,1631831552-00053128,2081750788-053128,174407729-0000053128
Component 00000000054478,00003-00004-00008-54478,00004-00006-00012-42769,1089890640-054478,1415134252-054478,1740377864-0054478,1831820293-054478,205602233-00054478,1669198487-054478,1346979284-0000054478
Component 00000000088811,00001-00002-00008-88811,00003-00003-00010-15753,1812726247-088811,1638761318-088811,1464796389-0088811,891619955-088811,1761444600-00088811,2052344243-088811,1421048640-0000088811
Component 00000000084148,00003-00001-00012-84148,00005-00010-8720,1824968518-084148,919471246-084148,13973974-0084148,858023766-084148,1090542832-00084148,1310772402-084148,901155038-0000084148
Component 00000000065120,00006-00003-65120,00003-00003-89820,39470886-065120,1048037019-065120,2056603152-0065120,636546279-065120,2036166555-00065120,1206005036-065120,1693346294-0000065120
Component 00000000118250,00006-00002-118250,00004-00006-00008-98769,671833317-118250,1719611751-118250,619906538-0118250,2096963485-118250,1153038609-00118250,1573074268-118250,496421763-0000118250
Component 00000000091197,00002-00001-00002-91197,00002-00010-82560,55625590-091197,286932202-091197,518238814-0091197,536578037-091197,1527528624-00091197,420924731-091197,828863503-0000091197
Component 00000000002883,00003-00006-00010-2883,00001-00002-00004-80656,2123659774-002883,99127248-002883,222078369-0002883,570596378-002883,2103324420-00002883,1582862641-002883,1791885928-0000002883
Component 00000000080642,00002-00002-00003-80642,00002-00003-00004-34142,1298563849-080642,1714694887-080642,2130825925-0080642,6082722-080642,72911179-00080642,1945500850-080642,1004271602-0000080642
Component 00000000010994,00004-00004-00009-10994,00003-00006-00010-60668,777718493-010994,2006353205-010994,1087504270-0010994,236959909-010994,536237290-00010994,1770126200-010994,524368830-0000010994
Component 00000000111681,00001-00003-00011-111681,00004-00005-00003-38379,541068542-111681,1096778258-111681,1652487974-0111681,1723186004-111681,1092121071-00111681,1445331146-111681,1110338924-0000111681
Component 00000000104097,00002-00006-104097,00003-00002-00004-73103,1505472760-104097,1060941925-104097,616411090-0104097,346821909-104097,421992437-00104097,1642829150-104097,2049831005-0000104097
Component 00000000105447,00002-00006-00004-105447,00003-00006-00012-110928,320260015-105447,920986176-105447,1521712337-0105447,464449589-105447,1755786078-00105447,1237828332-105447,573096313-0000105447
Component 00000000114386,00001-00006-00012-114386,00001-00002-00011-114151,359975068-114386,435311093-114386,510647118-0114386,792546810-114386,415866685-00114386,1828620621-114386,1596717481-0000114386
Component 00000000044541,00001-00003-44541,00004-00008-11669,287681370-044541,1833881887-044541,1232598757-0044541,1190220623-044541,2049152626-00044541,1490862188-044541,863737706-0000044541
Component 00000000044555,00004-44555,00002-00002-00008-12007,1034252764-044555,20252633-044555,1153736149-0044555,173628468-044555,948661829-00044555,1754370357-044555,1251402389-0000044555
Component 00000000018257,00002-00001-00005-18257,00003-00011-16950,1151755419-018257,2105642305-018257,912045544-0018257,170629156-018257,1843645667-00018257,1841169360-018257,183663143-0000018257
Component 00000000077925,00001-00003-77925,00002-00004-00011-81547,688030096-077925,531686516-077925,375342936-0077925,1695301054-077925,329535307-00077925,1773472844-077925,869354329-0000077925
Component 00000000099771,00001-00009-99771,00004-00001-00003-75559,1750782260-099771,1616695947-099771,1482609634-0099771,616305197-099771,1286736762-00099771,1757090177-099771,1955069312-0000099771
Component 00000000025162,00002-00004-00007-25162,00003-00001-00006-86703,327049314-025162,1909745307-025162,1344957653-0025162,852135506-025162,1528590129-00025162,1134529333-025162,1748879514-0000025162
Component 00000000043121,00001-00001-43121,00003-00006-00003-95423,829154732-043121,689892918-043121,550631104-0043121,517407694-043121,1213716764-00043121,587038601-043121,466811899-0000043121
Component 00000000084308,00003-00003-84308,00002-00003-00002-116287,969785231-084308,1453305073-084308,1936824915-0084308,798177451-084308,528061888-00084308,556417530-084308,396323986-0000084308
Component 00000000010069,00004-00003-00007-10069,00002-00004-00012-34787,978857244-010069,1606378580-010069,86416269-0010069,1348870982-010069,358747949-00010069,1035110314-010069,1407482032-0000010069
Component 00000000099998,00003-00003-00002-99998,00003-00001-00006-14358,444997605-099998,1852415855-099998,1112350458-0099998,2132789673-099998,1538149364-00099998,1429080548-099998,1015370966-0000099998
Component 00000000014604,00004-00002-00005-14604,00005-00005-38225,872565083-014604,1602570680-014604,185092630-0014604,844356362-014604,1489295671-00014604,1553095387-014604,1740445452-0000014604
Component 00000000063709,00004-00002-00009-63709,00001-00002-54160,1280561646-063709,684343192-063709,88124738-0063709,281254038-063709,1114862661-00063709,579363265-063709,2099683069-0000063709
Component 00000000033597,00002-00004-00005-33597,00001-00005-00007-75836,1066428448-033597,522117996-033597,2125291191-0033597,437175290-033597,1011243903-00033597,709330516-033597,68811389-0000033597
Component 00000000028746,00001-00004-00003-28746,00002-00011-63555,409431113-028746,1126309552-028746,1843187991-0028746,1892038876-028746,455130328-00028746,459857833-028746,609902727-0000028746
Component 00000000100891,00001-00011-100891,00002-00012-36022,485160086-100891,1750829003-100891,869014273-0100891,666818621-100891,780924977-00100891,1107725986-100891,1098611715-0000100891
Component 00000000053489,00004-00002-00007-53489,00001-00005-00009-15076,227488656-053489,1549720945-053489,724469587-0053489,1004987086-053489,836276582-00053489,1417612765-053489,1447366515-0000053489
Component 00000000029781,00001-00003-00011-29781,00003-00005-00004-92538,384212002-029781,1880704309-029781,1229712969-0029781,1023386717-029781,2130859770-00029781,1348882387-029781,607107208-0000029781
Component 00000000039141,00001-00004-00011-39141,00004-00006-00009-107519,1617902901-039141,419413033-039141,1368406812-0039141,1473202772-039141,1023201171-00039141,2072447706-039141,1533621248-0000039141
