Component 00000000046420,00003-00010-46420,00001-64260,1848325235-046420,1852590989-046420,1856856743-0046420,2055214304-046420,2033885534-00046420,2053081427-046420,1844294423-0000046420
Component 00000000033179,00004-00006-00003-33179,00003-00004-00009-64138,2082344768-033179,1829112173-033179,1575879578-0033179,1611723969-033179,730403297-00033179,664598443-033179,291298436-0000033179
Component 00000000087180,00002-00002-87180,00003-00004-00004-93643,1737498774-087180,799588350-087180,2009161573-0087180,1345999797-087180,1740584623-00087180,1814955009-087180,2127492111-0000087180
Component 00000000112614,00004-00005-00008-112614,00002-00004-00005-64537,1663970972-112614,276092444-112614,1035697563-0112614,923855421-112614,1420797120-00112614,1617794685-112614,2073276178-0000112614
Component 00000000031041,00001-00003-00010-31041,00003-00006-42815,703174763-031041,487953326-031041,272731889-0031041,2076095127-031041,1004718665-00031041,1109964022-031041,1220540331-0000031041
Component 00000000057895,00005-00006-57895,00003-00006-00012-14923,459712047-057895,906094767-057895,1352477487-0057895,634437497-057895,550007544-00057895,411246137-057895,890251827-0000057895
Component 00000000099308,00003-00006-00001-99308,00003-00002-00008-62603,17386805-099308,1714940566-099308,1265010680-0099308,1818107451-099308,1920273234-00099308,2043072394-099308,420782247-0000099308
Component 00000000034630,00001-00011-34630,00003-00005-00008-104788,2092940529-034630,71661328-034630,197865774-0034630,1771405219-034630,1140382989-00034630,1708302996-034630,426726923-0000034630
Component 00000000048421,00001-00002-00009-48421,00001-00001-00011-120261,1442237131-048421,1105352683-048421,768468235-0048421,135726932-048421,1820149172-00048421,304169156-048421,1106779324-0000048421
Component 00000000108567,00002-00004-00004-108567,00001-00001-00011-74761,269190104-108567,477349081-108567,685508058-0108567,701224077-108567,1807912839-00108567,1670886412-108567,748354780-0000108567
Component 00000000108456,00001-00005-00010-108456,00001-00002-00005-71661,705060103-108456,575432081-108456,445804059-0108456,860551977-108456,1508692087-00108456,925365988-108456,1870823788-0000108456
Component 00000000076518,00003-00001-76518,00002-00005-00002-42187,755674411-076518,838772826-076518,921871241-0076518,1564722068-076518,1149229993-00076518,449431037-076518,162947253-0000076518
Component 00000000123442,00002-00004-00007-123442,00001-00002-00008-120661,2071258057-123442,1533366927-123442,995475797-0123442,1753342016-123442,147830372-00123442,2022287581-123442,1969093128-0000123442
Component 00000000057416,00001-00002-00008-57416,00005-00006-1475,1680180847-057416,245085001-057416,957472802-0057416,797509020-057416,1530537309-00057416,1515056943-057416,784973374-0000057416
Component 00000000067241,00001-00006-00005-67241,00001-00001-00009-29506,75531651-067241,935922252-067241,1796312853-0067241,2076028330-067241,2069042619-00067241,572091206-067241,1936616673-0000067241
Component 00000000123349,00004-00002-00005-123349,00006-118020,1730638444-123349,466637442-123349,1350120087-0123349,556131963-123349,433686032-00123349,1188132464-123349,1893195701-0000123349
Component 00000000049727,00002-00006-00002-49727,00003-00005-00003-33283,688023186-049727,872706781-049727,1057390376-0049727,2128984779-049727,1205566804-00049727,962901158-049727,591966918-0000049727
Component 00000000092311,00001-00002-00011-92311,00003-00005-00007-113783,78251764-092311,1780135555-092311,1334535699-0092311,2088978865-092311,22010851-00092311,164295146-092311,380741150-0000092311
Component 00000000098688,00003-00002-00005-98688,00003-00007-45195,1030046254-098688,1744188661-098688,310847421-0098688,232472818-098688,956728077-00098688,949143438-098688,1845177385-0000098688
Component 00000000095741,00001-00002-00009-95741,00004-00006-00006-86274,1004656717-095741,1773597363-095741,395054362-0095741,1791056049-095741,93836466-00095741,1406585726-095741,1236772364-0000095741
Component 00000000112490,00001-112490,00002-00004-00002-61037,519255133-112490,585567687-112490,651880241-0112490,1587930355-112490,1256367585-00112490,1554774078-112490,1315323689-0000112490
Component 00000000072107,00002-00009-72107,00002-00002-00010-42247,196137100-072107,1389222664-072107,434824581-0072107,78728485-072107,555751606-00072107,1629669350-072107,254954472-0000072107
Component 00000000071361,00001-00003-00004-71361,00004-00007-21340,334705081-071361,1652674731-071361,823160734-0071361,1979207343-071361,1831810034-00071361,1320222518-071361,1506476202-0000071361
Component 00000000097092,00002-00002-00008-97092,00004-00006-00004-524,898791096-097092,1524534735-097092,2794727-0097092,108844706-097092,1275093805-00097092,869714710-097092,861868711-0000097092
Component 00000000058941,00001-00001-00012-58941,00003-00001-44213,149273265-058941,138432344-058941,127591423-0058941,697230420-058941,751435025-00058941,1776392704-058941,415130728-0000058941
Component 00000000009621,00001-00003-00001-9621,00004-00002-00008-22199,1312149813-009621,2044949054-009621,630264648-0009621,1419432826-009621,2050403915-00009621,2126775029-009621,1121583064-0000009621
Component 00000000075115,00005-00001-75115,00003-00006-00006-2918,1883616694-075115,2081313613-075115,131526885-0075115,1808240854-075115,819756259-00075115,635650571-075115,1947371461-0000075115
Component 00000000113363,00003-00005-00003-113363,00002-00002-00006-85507,716385461-113363,1612113525-113363,360357942-0113363,1209523625-113363,1025850599-00113363,761659593-113363,2106314712-0000113363
Component 00000000118893,00003-00005-00008-118893,00001-00001-00008-116761,113405886-118893,565095041-118893,1016784196-0118893,1619235257-118893,1508273129-00118893,319648856-118893,552937757-0000118893
Component 00000000037933,00003-00012-37933,00002-00007-73717,2102231485-037933,945009429-037933,1935271020-0037933,1811536591-037933,1155195930-00037933,242663972-037933,599133700-0000037933
Component 00000000102695,00005-00008-102695,00001-00001-33866,187698883-102695,719292441-102695,1250885999-0102695,200182682-102695,1837182186-00102695,2081869550-102695,1065588346-0000102695
Component 00000000048978,00003-00006-00007-48978,00003-00002-12313,1852584668-048978,1436425071-048978,1020265474-0048978,2069938860-048978,2003253198-00048978,1204276835-048978,339521538-0000048978
Component 00000000016003,00003-00001-16003,00001-00008-77371,540400420-016003,1708001141-016003,728118215-0016003,260718743-016003,865166079-00016003,750660206-016003,173304272-0000016003
Component 00000000103063,00003-00002-00012-103063,00003-00001-44213,1716709035-103063,1741406466-103063,1766103897-0103063,1840792615-103063,1717305460-00103063,754702076-103063,75891148-0000103063
Component 00000000108847,00002-00004-00011-108847,00002-00010-82560,200886202-108847,867013831-108847,1533141460-0108847,1369563327-108847,186408829-00108847,2110241336-108847,1677044176-0000108847
Component 00000000074350,00003-00003-74350,00003-00005-00006-105033,678718671-074350,836983984-074350,995249297-0074350,838393587-074350,47067022-00074350,1833002754-074350,1764736039-0000074350
Component 00000000021411,00001-00005-21411,00002-00002-00012-105247,1239390038-021411,1611142237-021411,1982894436-0021411,1015760690-021411,1304483342-00021411,1903626414-021411,268740767-0000021411
Component 00000000017921,00001-00001-00007-17921,00004-00006-00010-7524,765179002-017921,1421560768-017921,2077942534-0017921,387439948-017921,1400498412-00017921,59249065-017921,410520680-0000017921
Component 00000000084759,00004-00003-00012-84759,00003-00002-00009-25853,1654841583-084759,1316231194-084759,977620805-0084759,1338365069-084759,883933367-00084759,433928440-084759,1180230077-0000084759
Component 00000000001690,00003-1690,00001-00004-2331,1188592961-001690,1052158984-001690,915725007-0001690,2087737841-001690,622424079-00001690,1082213006-001690,2028932558-0000001690
Component 00000000071423,00003-00002-00001-71423,00004-00001-00010-23059,1948246277-071423,45992924-071423,291223218-0071423,957013654-071423,1878345831-00071423,834398507-071423,1766485198-0000071423
Component 00000000117233,00003-00004-00012-117233,1436259974,1171747497-117233,1549172554-117233,1926597611-0117233,1223251762-117233,1483610124-00117233,2108281057-117233,381628188-0000117233
Component 00000000011160,00002-00006-11160,00004-00010-65335,752846780-011160,1825510077-011160,750689727-0011160,163667333-011160,1242801789-00011160,701077508-011160,1349136789-0000011160
Component 00000000018354,00004-00011-18354,00002-00003-00009-19652,532210990-018354,526066907-018354,519922824-0018354,1307964788-018354,1338685203-00018354,237295006-018354,1996320699-0000018354
Component 00000000032354,00004-00010-32354,00002-00002-00004-52082,1926654780-032354,80535043-032354,381898953-0032354,1510418886-032354,3599336-00032354,1359736931-032354,1836892247-0000032354
Component 00000000054071,00001-00003-00004-54071,00004-00005-00010-31379,1964434681-054071,267464663-054071,717978292-0054071,1265767394-054071,1160682896-00054071,2114252403-054071,1411185128-0000054071
Component 00000000082317,00002-00004-00001-82317,00003-00003-00003-80993,952602703-082317,1838424441-082317,576762532-0082317,965284056-082317,831142660-00082317,522373187-082317,1301625018-0000082317
Component 00000000087198,00003-00006-00007-87198,00003-00002-00009-94103,271476198-087198,1184186948-087198,2096897698-0087198,1588274633-087198,1319688177-00087198,1131919258-087198,638954803-0000087198
Component 00000000035097,00002-00006-00010-35097,00004-00003-117835,1651936220-035097,982313363-035097,312690506-0035097,313740537-035097,1514371175-00035097,1722293789-035097,971125257-0000035097
Component 00000000070492,00002-00002-00006-70492,00003-00005-00002-120538,2004388784-070492,639490075-070492,1422075013-0070492,1305052631-070492,1687095235-00070492,913760162-070492,390905004-0000070492
Component 00000000008617,00002-00011-8617,00002-00005-00006-117682,1984878022-008617,506831939-008617,1176269503-0008617,92861524-008617,1040640998-00008617,1905626389-008617,1403137321-0000008617
Component 00000000088658,00003-00003-00011-88658,00003-00002-11455,1644301572-088658,1956155008-088658,120524797-0088658,1736807689-088658,177540509-00088658,1580880971-088658,738072252-0000088658
Component 00000000020221,00001-00005-00006-20221,00002-00005-00008-71937,848350449-020221,415585346-020221,2130303890-0020221,260337600-020221,276679468-00020221,1550461975-020221,2048602823-0000020221
Component 00000000117317,00002-00004-00005-117317,00004-00004-72674,71594374-117317,238845074-117317,406095774-0117317,1740802383-117317,904548883-00117317,1657177033-117317,591498426-0000117317
Component 00000000037459,00004-00002-00006-37459,00003-00006-00012-60423,1233467253-037459,1797166452-037459,213382004-0037459,1729332817-037459,1058320469-00037459,373741394-037459,1256612929-0000037459
Component 00000000012413,00003-00002-00011-12413,00002-00001-00007-100367,1258872290-012413,2037535092-012413,668714247-0012413,369312541-012413,770965825-00012413,2127464787-012413,185422598-0000012413
Component 00000000098191,00001-00002-00002-98191,00002-00004-00009-31287,1833347012-098191,1994020706-098191,7210753-0098191,1036086583-098191,232718113-00098191,955749736-098191,391517339-0000098191
Component 00000000050734,00004-00005-00008-50734,00003-00006-00002-81668,1240217855-050734,1579578929-050734,1918940003-0050734,519360768-050734,970039045-00050734,349680231-050734,2141940952-0000050734
Component 00000000060473,00003-00010-60473,00002-00001-00002-87102,1046837940-060473,1960262947-060473,726204307-0060473,1324536016-060473,1052378275-00060473,1941565336-060473,62370619-0000060473
Component 00000000117748,00003-00001-00007-117748,00003-00001-84708,465578484-117748,655377809-117748,845177134-0117748,7169335-117748,1205656357-00117748,986011496-117748,1733200520-0000117748
Component 00000000098192,00002-00003-00003-98192,00003-00001-31318,571916799-098192,1695152554-098192,670904662-0098192,288017918-098192,1114290084-00098192,800141864-098192,61498175-0000098192
Component 00000000031705,00002-00011-31705,00001-00009-22876,1648327288-031705,1607286653-031705,1566246018-0031705,731598314-031705,936801489-00031705,1825860455-031705,1043405254-0000031705
Component 00000000060148,00003-00004-00010-60148,00005-00011-77985,1754954336-060148,641069850-060148,1674669011-0060148,1418647940-060148,545619429-00060148,1975590183-060148,442451772-0000060148
Component 00000000106752,00002-00002-00009-106752,00003-00004-23950,1461013755-106752,2103988215-106752,599479028-0106752,433020360-106752,1513115354-00106752,111533130-106752,1115632242-0000106752
Component 00000000005386,00001-00003-00004-5386,00001-00002-00006-8521,538376279-005386,49480302-005386,1708067972-0005386,1522983335-005386,1819979573-00005386,693689500-005386,2141915340-0000005386
Component 00000000074645,00004-00012-74645,00002-00004-00010-113292,2116787766-074645,1056164696-074645,2143025273-0074645,68692752-074645,1076840808-00074645,599004287-074645,1615005866-0000074645
Component 00000000048184,00004-00003-00006-48184,00004-113659,1418489278-048184,19370948-048184,767736265-0048184,133243330-048184,686384039-00048184,832802495-048184,252405598-0000048184
Component 00000000118470,00002-00001-118470,00001-00006-00009-104971,1634064487-118470,144163921-118470,801747002-0118470,240847387-118470,1247899276-00118470,985797670-118470,1823307214-0000118470
Component 00000000039435,00004-00006-39435,00003-00003-00009-115748,953381574-039435,687919467-039435,422457360-0039435,2037113090-039435,1216939978-00039435,1096102320-039435,1067464812-0000039435
Component 00000000019303,00003-00004-00011-19303,00003-46270,1770296042-019303,1573989602-019303,1377683162-0019303,839368290-019303,1820900490-00019303,937521510-019303,1614396570-0000019303
