Component 00000000092151,00001-00003-00007-92151,00005-109270,515055907-092151,1245366982-092151,1975678057-0092151,501662869-092151,1145074788-00092151,1210249155-092151,1685218635-0000092151
Component 00000000058441,00001-00005-00006-58441,00004-00001-00006-94074,1654959926-058441,1609802887-058441,1564645848-0058441,538585358-058441,764370553-00058441,1634905701-058441,591491203-0000058441
Component 00000000013190,00002-00008-13190,00004-00003-122164,636667455-013190,2127124754-013190,1470098406-0013190,983144282-013190,2120792375-00013190,1311657456-013190,1035753904-0000013190
Component 00000000074509,00004-00001-00006-74509,00009-117880,1677629749-074509,240333153-074509,950520204-0074509,688221547-074509,1432253586-00074509,1406869845-074509,224541104-0000074509
Component 00000000110420,00002-00011-110420,00003-00002-00009-3103,485214190-110420,580685085-110420,676155980-0110420,1894327127-110420,1416972652-00110420,772849856-110420,34161134-0000110420
Component 00000000098465,00003-00003-98465,00003-00001-00002-38963,234971449-098465,1121285590-098465,2007599731-0098465,1345276171-098465,1208672760-00098465,1975860924-098465,173954662-0000098465
Component 00000000095967,00002-00004-00001-95967,00004-00003-92599,1913594135-095967,19135431-095967,272160374-0095967,226660165-095967,1109019097-00095967,1173889517-095967,637817585-0000095967
Component 00000000048907,00002-00005-00001-48907,00003-00002-10348,249925380-048907,159443216-048907,68961052-0048907,156507720-048907,608918540-00048907,201748802-048907,1067326336-0000048907
Component 00000000072134,00004-00006-00010-72134,00005-00007-42985,1448759410-072134,523830323-072134,1746384883-0072134,613113454-072134,942791595-00072134,1836174-072134,576050220-0000072134
Component 00000000057479,00004-00002-00006-57479,00001-00001-00006-3256,1050805527-057479,569920682-057479,89035837-0057479,276468838-057479,533409416-00057479,1590653084-057479,1442531720-0000057479
Component 00000000114407,00002-00006-00007-114407,00005-00010-114735,61353301-114407,1182827619-114407,156818290-0114407,765766549-114407,1600845900-00114407,205029390-114407,1026211242-0000114407
Component 00000000076267,00002-00002-00009-76267,00001-00003-35155,1991614642-076267,562423262-076267,1280715529-0076267,1395309416-076267,2098815375-00076267,2109905106-076267,361357222-0000076267
Component 00000000091404,00004-00005-00001-91404,00002-00001-00001-88362,1305898574-091404,604533722-091404,2050652517-0091404,1649441604-091404,861298570-00091404,2000124030-091404,1639250446-0000091404
Component 00000000089635,89635,00004-00009-38840,1241380447-089635,1382638840-089635,1523897233-0089635,576219743-089635,2017411425-00089635,1579332370-089635,739338166-0000089635
Component 00000000046077,00002-00003-00005-46077,00001-00002-00012-54651,349776171-046077,955011808-046077,1560247445-0046077,712675331-046077,1981464440-00046077,1483799336-046077,569496092-0000046077
Component 00000000095381,00001-00006-95381,00003-00004-00002-76143,857410064-095381,685665587-095381,513921110-0095381,43995694-095381,902718079-00095381,1203609756-095381,238845341-0000095381
Component 00000000112378,00003-00006-112378,00002-00005-00009-57937,959555209-112378,257515843-112378,1702960124-0112378,1270384310-112378,485613846-00112378,1621403993-112378,76905169-0000112378
Component 00000000038604,00004-00006-00007-38604,00002-00002-00012-92507,1317487826-038604,998395056-038604,679302286-0038604,873874010-038604,321854213-00038604,1033420395-038604,1392800549-0000038604
Component 00000000049812,00002-00009-49812,00002-00005-00005-35677,890251521-049812,484647525-049812,79043529-0049812,545810538-049812,426346871-00049812,748612536-049812,1546380297-0000049812
Component 00000000119524,00004-00006-00002-119524,00001-00002-00007-10901,1350667415-119524,2015002759-119524,531854456-0119524,1358676894-119524,184483821-00119524,1026509222-119524,1881575086-0000119524
Component 00000000090162,00002-00002-00007-90162,1436259974,520956352-090162,1610338649-090162,552237299-0090162,742648405-090162,1738187861-00090162,1271699080-090162,844094728-0000090162
Component 00000000004660,00005-00006-4660,00003-00012-7500,1607494439-004660,182406393-004660,904801994-0004660,1210200912-004660,1893190201-00004660,1922744935-004660,1395649743-0000004660
Component 00000000060611,00001-00005-00005-60611,00002-00005-00007-90942,165969162-060611,1408984948-060611,504517087-0060611,322692667-060611,550064678-00060611,1848668421-060611,215940021-0000060611
Component 00000000037079,00004-00003-37079,00001-00005-00002-49831,195870565-037079,1706339400-037079,1069324588-0037079,1512906888-037079,403013654-00037079,1831414294-037079,1616063568-0000037079
Component 00000000014592,00002-00004-00006-14592,00003-00002-00002-37858,71397390-014592,1292198836-014592,365516635-0014592,1298209052-014592,1636652763-00014592,687808329-014592,1741109405-0000014592
Component 00000000017459,00004-00001-17459,00003-00004-00012-118143,1437742289-017459,729198296-017459,20654303-0017459,359355157-017459,1754591475-00017459,1787368977-017459,1066757035-0000017459
Component 00000000037439,00004-00003-00012-37439,00004-00001-59840,281781203-037439,1827632227-037439,1225999604-0037439,93628222-037439,954307690-00037439,1468186357-037439,1661089053-0000037439
Component 00000000049832,00002-00006-00003-49832,00005-00012-36230,1212119353-049832,1757044335-049832,154485670-0049832,1871177216-049832,1294035953-00049832,1598714725-049832,1334315282-0000049832
Component 00000000098190,00001-00001-98190,00002-00002-00005-31257,344576878-098190,1765559269-098190,1039058013-0098190,1616487961-098190,954026947-00098190,1979738589-098190,500506396-0000098190
Component 00000000005471,00001-00004-00011-5471,00002-00004-00001-29537,1001372412-005471,2078690167-005471,1008524275-0005471,637934178-005471,1693796344-00005471,1173017124-005471,1271594395-0000005471
Component 00000000025350,00003-25350,00001-92015,798648129-025350,1691104417-025350,436077058-0025350,1133105157-025350,965791011-00025350,686877013-025350,1763639610-0000025350
Component 00000000028680,00001-00002-28680,00003-00001-00002-61713,1584192189-028680,230217623-028680,1023726704-0028680,340935148-028680,668357037-00028680,1017922431-028680,669667282-0000028680
Component 00000000111292,00002-00006-00012-111292,00001-00001-00003-27511,492599351-111292,1632555005-111292,625027012-0111292,2093357395-111292,688546419-00111292,1523379568-111292,1717373507-0000111292
Component 00000000116812,00002-00003-00007-116812,00004-00006-00006-58519,169326470-116812,651600295-116812,1133874120-0116812,1011028689-116812,747143211-00116812,1843633600-116812,1971779986-0000116812
Component 00000000077002,00002-00002-00003-77002,00004-00005-00012-106209,1476357354-077002,931225388-077002,386093422-0077002,807260767-077002,1385436950-00077002,1079826750-077002,1337097615-0000077002
Component 00000000056914,00004-00004-56914,111020,322567568-056914,1682776951-056914,895502687-0056914,794471410-056914,435875436-00056914,1188108542-056914,1342831330-0000056914
Component 00000000002616,00001-00005-00003-2616,00001-00001-73165,1191632981-002616,2044192577-002616,749268526-0002616,1738584094-002616,1770753408-00002616,1312304296-002616,1680517006-0000002616
Component 00000000019509,00004-00009-19509,00001-00001-00011-52011,1621997615-019509,1558691996-019509,1495386377-0019509,1772900564-019509,2089428659-00019509,730811550-019509,764788196-0000019509
Component 00000000102652,00002-00004-00004-102652,00004-32669,1201797582-102652,1182863431-102652,1163929280-0102652,1357233082-102652,1451903837-00102652,292958334-102652,1844059724-0000102652
Component 00000000078216,00001-00005-00008-78216,00004-00004-00005-89744,1795744868-078216,249859926-078216,851458631-0078216,1982252826-078216,1121742948-00078216,607711650-078216,1108234282-0000078216
Component 00000000079515,00002-00007-79515,00001-00003-00003-2551,502960494-079515,2040940848-079515,1431437555-0079515,2080563665-079515,833112836-00079515,1311573488-079515,1080894194-0000079515
Component 00000000119841,00001-00001-00007-119841,00004-00001-00005-19804,443758231-119841,620413095-119841,797067959-0119841,421584547-119841,1685793874-00119841,333257115-119841,616604910-0000119841
Component 00000000069093,00003-00003-00011-69093,00002-00001-00008-81362,174567327-069093,1244113880-069093,166176786-0069093,1581709443-069093,528943972-00069093,2120677990-069093,594838151-0000069093
Component 00000000114279,00004-00004-00009-114279,00003-00004-00006-111143,148312391-114279,1633396093-114279,970996148-0114279,1307911587-114279,324944018-00114279,565369736-114279,1514314662-0000114279
Component 00000000081088,00003-00007-81088,00002-00001-00002-46607,191506290-081088,741723171-081088,1291940052-0081088,33479431-081088,1577362320-00081088,832112814-081088,659060833-0000081088
Component 00000000108527,00002-00006-00003-108527,00006-00006-73625,1983092058-108527,874148420-108527,1912688429-0108527,1886416790-108527,988684039-00108527,293404962-108527,1238604018-0000108527
Component 00000000015795,00003-15795,00002-00006-00002-71567,2086793684-015795,552504403-015795,1165698769-0015795,1761949377-015795,843461194-00015795,1455352194-015795,1723615639-0000015795
Component 00000000039353,00003-00006-00002-39353,00001-00006-00012-113476,601696898-039353,593198916-039353,584700934-0039353,189544771-039353,232034681-00039353,193793762-039353,1034457756-0000039353
Component 00000000038359,00004-00006-00009-38359,00006-00012-85630,818179287-038359,2066821287-038359,1167979640-0038359,1247774171-038359,1447015112-00038359,623453171-038359,1326124994-0000038359
Component 00000000031840,00004-00003-31840,00001-00005-00002-43916,1191978612-031840,1960672986-031840,581883713-0031840,1966433752-031840,270445529-00031840,1582086565-031840,1988782251-0000031840
Component 00000000082536,00001-00006-00012-82536,00002-00004-00003-9272,400017877-082536,1316031390-082536,84561256-0082536,803258494-082536,518158223-00082536,1418993561-082536,466966722-0000082536
Component 00000000030317,00002-00001-30317,00002-00001-107550,1271932480-030317,1410932118-030317,1549931756-0030317,1570963982-030317,875965792-00030317,1501464163-030317,558964368-0000030317
Component 00000000010208,00003-00002-00003-10208,00001-00002-00007-38656,1610912894-010208,1329473365-010208,1048033836-0010208,1919739443-010208,1179453441-00010208,986717384-010208,1443624065-0000010208
Component 00000000113184,00004-00001-00006-113184,00002-00002-80472,1088562383-113184,1007236168-113184,925909953-0113184,365466426-113184,772097501-00113184,1479871357-113184,415377923-0000113184
Component 00000000097010,00004-00004-97010,00002-00004-121797,386424736-097010,1865577070-097010,1197245757-0097010,1258352584-097010,305041855-00097010,518776417-097010,1121179991-0000097010
Component 00000000007409,00004-00003-00012-7409,00003-00002-00011-83848,804932232-007409,75072253-007409,1492695921-0007409,840203426-007409,194536027-00007409,131391592-007409,374561029-0000007409
Component 00000000121037,00002-00007-121037,00004-00004-00004-53239,496896312-121037,431079109-121037,365261906-0121037,525987437-121037,855073452-00121037,1632637862-121037,623694983-0000121037
Component 00000000062654,00004-00004-00007-62654,00006-00003-24625,1496221486-062654,1393716639-062654,1291211792-0062654,1893445524-062654,258486112-00062654,870956124-062654,853451974-0000062654
Component 00000000020139,00004-00002-20139,00004-00010-69664,1132197244-020139,1334375302-020139,1536553360-0020139,200414822-020139,1337008179-00020139,99325793-020139,279008658-0000020139
Component 00000000003318,00003-00003-3318,00001-00005-4576,1286286048-003318,1636429691-003318,1986573334-0003318,14641734-003318,411407166-00003318,913311736-003318,3339162-0000003318
Component 00000000043830,00003-00007-43830,00002-00004-00003-115287,1882506568-043830,1726077012-043830,1569647456-0043830,738124043-043830,1520271823-00043830,816338821-043830,1076169665-0000043830
Component 00000000085692,00002-00005-00009-85692,00003-00002-51950,684087671-085692,2053644447-085692,1275717576-0085692,535598250-085692,130265311-00085692,1998303509-085692,8351167-0000085692
Component 00000000003833,00003-00004-00011-3833,00004-00004-00007-107244,2041865207-003833,441680730-003833,988979900-0003833,668587541-003833,79575338-00003833,394937956-003833,1670051841-0000003833
Component 00000000019034,00004-00001-00002-19034,00001-00006-00002-38716,1895683713-019034,1220212957-019034,544742201-0019034,1347606752-019034,429993238-00019034,1685342130-019034,592934716-0000019034
Component 00000000097659,00004-00002-00003-97659,00002-00005-00008-16427,1095310603-097659,322637405-097659,1697447854-0097659,127882499-097659,1843764842-00097659,514219098-097659,1411637311-0000097659
Component 00000000108027,00002-00003-00010-108027,00001-00002-00012-59656,1066644368-108027,2003919172-108027,793710329-0108027,1427315775-108027,1035909049-00108027,958678373-108027,1863703593-0000108027
Component 00000000094314,00004-00003-00012-94314,00001-00003-00008-46301,1201958463-094314,1568378971-094314,1934799479-0094314,1793483925-094314,2108865032-00094314,1610273671-094314,982847743-0000094314
Component 00000000001790,00005-00009-1790,00004-50015,543570438-001790,1236015418-001790,1928460398-0001790,1914897263-001790,600156010-00001790,1568674773-001790,755234900-0000001790
Component 00000000066461,00001-00003-00005-66461,00003-00006-00008-7678,700032655-066461,1907194265-066461,966872228-0066461,1265312271-066461,1671955162-00066461,661731466-066461,1296982952-0000066461
Component 00000000039513,00003-00005-00006-39513,00002-00005-00004-117927,393662340-039513,1864121932-039513,1187097877-0039513,843992201-039513,2081628829-00039513,108762405-039513,605302606-0000039513
Component 00000000074738,00003-00006-00001-74738,00001-00002-00006-115901,1432871950-074738,754317766-074738,75763582-0074738,735248731-074738,1980536004-00074738,1074525823-074738,1130317815-0000074738
