Component 00000000011892,00002-00006-00010-11892,00003-85813,765188718-011892,1019854467-011892,1274520216-0011892,1305317486-011892,31988741-00011892,104242788-011892,1143141531-0000011892
Component 00000000061502,00002-00012-61502,00001-00002-115871,1783432647-061502,2017755709-061502,104595124-0061502,263199272-061502,1239067609-00061502,146037741-061502,299092148-0000061502
Component 00000000068798,00003-00002-00002-68798,00003-00004-00008-73133,102754878-068798,159546830-068798,216338782-0068798,709680903-068798,425721143-00068798,681284927-068798,178641992-0000068798
Component 00000000038784,00004-00004-00005-38784,00002-00004-00003-97542,14942943-038784,1160354734-038784,158282878-0038784,806581808-038784,1521973794-00038784,1307617736-038784,528608752-0000038784
Component 00000000052179,00004-00001-00010-52179,00002-00003-101962,2003825810-052179,1034657851-052179,65489892-0052179,1170078209-052179,1720950710-00052179,580920365-052179,1286742175-0000052179
Component 00000000100630,00005-00010-100630,00004-00001-00002-99569,860897387-100630,2085930633-100630,1163480232-0100630,145467702-100630,462752413-00100630,1680434726-100630,340729859-0000100630
Component 00000000013149,00004-00003-00006-13149,00003-00005-00011-121028,2139194978-013149,800752643-013149,1609793955-0013149,575509317-013149,825270051-00013149,170988661-013149,1467120211-0000013149
Component 00000000053109,00004-00004-53109,00003-00006-00003-4423,1496139913-053109,1282561751-053109,1068983589-0053109,1875017291-053109,795424454-00053109,1981806372-053109,1488767134-0000053109
Component 00000000007758,00003-00002-00010-7758,00002-00001-00012-93612,1824840517-007758,908146276-007758,2138935682-0007758,1388584592-007758,1677088503-00007758,773189889-007758,732072165-0000007758
Component 00000000120536,00001-00003-120536,00003-00003-00004-39238,1207750479-120536,1770751861-120536,186269596-0120536,596030095-120536,2075990479-00120536,314529404-120536,1732026618-0000120536
Component 00000000104998,00003-00005-00010-104998,00001-98371,1252681159-104998,1057886230-104998,863091301-0104998,1468803514-104998,295294512-00104998,492459155-104998,1236642437-0000104998
Component 00000000034855,00002-00002-34855,111020,1404997844-034855,696142120-034855,2134770043-0034855,1385233582-034855,634544908-00034855,1739661444-034855,846731308-0000034855
Component 00000000025074,00004-00010-25074,00004-00006-84279,1519857680-025074,154653621-025074,936933209-0025074,805712052-025074,1189281406-00025074,414572258-025074,291349981-0000025074
Component 00000000113071,00001-00010-113071,00004-00001-00011-77309,971064818-113071,115028411-113071,1406475651-0113071,1329230195-113071,1314444936-00113071,683506575-113071,438433208-0000113071
Component 00000000052537,00002-00002-00004-52537,00002-00003-111972,897233486-052537,1105191841-052537,1313150196-0052537,1319537292-052537,279745517-00052537,141816291-052537,353181783-0000052537
Component 00000000062965,00006-62965,00006-00004-33375,398402563-062965,1876001087-062965,1206115964-0062965,1194970626-062965,249428947-00062965,456171364-062965,1111842079-0000062965
Component 00000000111692,00002-00009-111692,00001-00006-00002-38716,520996086-111692,2144902420-111692,1621325107-0111692,1971041993-111692,293961264-00111692,1159088826-111692,248460873-0000111692
Component 00000000086400,00006-00002-86400,00002-00002-00005-71752,1015054452-086400,519764613-086400,24474774-0086400,1689559201-086400,2018524749-00086400,863462297-086400,1521057968-0000086400
Component 00000000071963,00003-00003-00008-71963,00003-00001-38195,548986037-071963,893455619-071963,1237925201-0071963,75891588-071963,501027325-00071963,2051140444-071963,1887376922-0000071963
Component 00000000045712,00002-00002-00004-45712,00004-00002-00012-44459,1149222005-045712,1544798848-045712,1940375691-0045712,2081087891-045712,103203676-00045712,809557646-045712,991956823-0000045712
Component 00000000036323,00003-00001-36323,00001-00003-28616,1166071908-036323,1944110507-036323,574665459-0036323,1319980137-036323,1724754436-00036323,2004702661-036323,437098067-0000036323
Component 00000000112051,00001-00002-00004-112051,00003-00005-00012-48788,2103021976-112051,1397350413-112051,691678850-0112051,1163947699-112051,397338220-00112051,443041657-112051,906054834-0000112051
Component 00000000088191,00001-00005-00012-88191,00004-00002-00009-121949,113323664-088191,1011046537-088191,1908769410-0088191,1776951888-088191,1583304817-00088191,254348628-088191,530613141-0000088191
Component 00000000008638,00003-00006-8638,00004-00004-00012-118234,884267508-008638,416634837-008638,2096485813-0008638,752661258-008638,943340966-00008638,2060219417-008638,2091490386-0000008638
Component 00000000116056,00001-00003-00005-116056,00004-00012-37335,416349132-116056,660601703-116056,904854274-0116056,451438767-116056,1377659559-00116056,1403054305-116056,832703877-0000116056
Component 00000000116751,00001-00005-00011-116751,00004-00007-56830,443126278-116751,135763520-116751,1975884409-0116751,568418044-116751,2105231834-00116751,722099423-116751,1586061124-0000116751
Component 00000000025672,00002-00003-00010-25672,00001-00006-00010-100981,2005248650-025672,668736375-025672,1479707747-0025672,535170899-025672,775281333-00025672,129685213-025672,2078524215-0000025672
Component 00000000037463,00003-00006-00010-37463,00001-00003-00005-60546,1588411469-037463,1150789541-037463,713167613-0037463,1838584431-037463,1879210424-00037463,2057395395-037463,104225075-0000037463
Component 00000000005813,00003-00003-00002-5813,00002-00003-00004-39147,651105543-005813,1044667060-005813,1438228577-0005813,1485228118-005813,1664904180-00005813,214705536-005813,1230788273-0000005813
Component 00000000090635,00006-00012-90635,00002-00003-66810,1115967971-090635,1766265259-090635,269078900-0090635,443131734-090635,1486612588-00090635,117983090-090635,1879259929-0000090635
Component 00000000055328,00003-55328,00004-00001-00004-66564,1036077536-055328,353921268-055328,1819248647-0055328,163753243-055328,1427050936-00055328,504831377-055328,101325895-0000055328
Component 00000000087333,00003-00001-00012-87333,00001-00007-97910,1977419066-087333,251579834-087333,673224249-0087333,2026078547-087333,2065340119-00087333,741514516-087333,141498765-0000087333
Component 00000000038757,00002-00005-00004-38757,00004-00004-00011-96744,1303759346-038757,157078132-038757,1157880565-0038757,1524295289-038757,815250418-00038757,2097635896-038757,169362831-0000038757
Component 00000000046405,00002-00008-46405,00001-00005-00001-63831,157433102-046405,1341052483-046405,377188217-0046405,654656435-046405,1179010471-00046405,1136588568-046405,1101539972-0000046405
Component 00000000007034,00004-00006-00001-7034,00004-00004-00001-9699,755066458-007034,2003919891-007034,1105289677-0007034,121174019-007034,319357795-00007034,570489126-007034,605831759-0000007034
Component 00000000046970,00001-46970,00003-00004-00005-79643,2097487229-046970,1370395428-046970,643303627-0046970,119531409-046970,1607506767-00046970,1556819133-046970,2120714363-0000046970
Component 00000000071093,00003-00001-00009-71093,00004-00003-00004-13849,440436916-071093,47719990-071093,1802486711-0071093,721018828-071093,537119811-00071093,917377291-071093,98355646-0000071093
Component 00000000041860,41860,00001-00005-60086,1971449784-041860,820821253-041860,1817676369-0041860,926799029-041860,237490743-00041860,428371471-041860,795478028-0000041860
Component 00000000033906,00001-00005-00002-33906,00004-00004-00007-84494,1557977964-033906,1380469163-033906,1202960362-0033906,464993880-033906,1352537885-00033906,1627490104-033906,90613717-0000033906
Component 00000000059673,00003-00005-00003-59673,00003-00002-64690,1682179877-059673,1791958567-059673,1901737257-0059673,563995401-059673,15101951-00059673,509106056-059673,134342955-0000059673
Component 00000000058169,00004-00006-00007-58169,00003-22568,27277845-058169,1215969117-058169,257176742-0058169,1844229715-058169,195740649-00058169,1249884079-058169,90609953-0000058169
Component 00000000064732,00002-00003-00005-64732,00002-00008-82805,978014440-064732,542680289-064732,107346138-0064732,265402763-064732,294589871-00064732,1556811662-064732,642608694-0000064732
Component 00000000004493,00003-00006-00008-4493,00002-00005-00011-2182,294886103-004493,1598696249-004493,755022748-0004493,1252652421-004493,1176052632-00004493,600747348-004493,1380929773-0000004493
Component 00000000108994,00004-00004-00002-108994,00003-00001-00006-86703,1793727569-108994,1861449373-108994,1929171177-0108994,783267769-108994,444658749-00108994,749406867-108994,1680207756-0000108994
Component 00000000024832,00002-00003-00002-24832,00003-00003-77493,647072205-024832,1168721397-024832,1690370589-0024832,177254253-024832,1863975587-00024832,2063913304-024832,1324125383-0000024832
Component 00000000057958,00003-00005-00004-57958,00003-00006-00007-16673,560688375-057958,1489830499-057958,271488976-0057958,526924802-057958,176181476-00057958,62353740-057958,1177657162-0000057958
Component 00000000002500,00001-00004-2500,00003-00005-00006-4023,21623594-002500,1217936050-002500,266764859-0002500,60719241-002500,521607902-00002500,1610046660-002500,1642692584-0000002500
Component 00000000017938,00003-00004-00011-17938,00005-00003-7985,1264623971-017938,244565772-017938,1371991220-0017938,110183377-017938,915507078-00017938,1693954300-017938,1861242122-0000017938
Component 00000000083805,00001-00007-83805,00002-00005-00006-122687,590267229-083805,1769559159-083805,801367442-0083805,1951351012-083805,349858656-00083805,1361705047-083805,1926473358-0000083805
Component 00000000021585,00004-00005-21585,00002-00001-00002-29772,1106626441-021585,1790006905-021585,325903722-0021585,2038324240-021585,768905567-00021585,1696634008-021585,2092002513-0000021585
Component 00000000105914,00004-00004-00003-105914,00002-00007-462,6769840-105914,739215173-105914,1471660506-0105914,96888315-105914,729628944-00105914,804407472-105914,1744687300-0000105914
Component 00000000017043,00003-00005-17043,00001-00006-00006-106476,1715534716-017043,1444050790-017043,1172566864-0017043,1433466187-017043,643402170-00017043,1569208150-017043,1550661015-0000017043
Component 00000000070805,00007-70805,00004-00006-00002-5774,1588530705-070805,1718917782-070805,1849304859-0070805,396111175-070805,1891659437-00070805,1404659460-070805,961416408-0000070805
Component 00000000121545,00004-00008-121545,00001-00001-00007-67516,1475409417-121545,2063665404-121545,504437744-0121545,1014795552-121545,220999264-00121545,1794409382-121545,1301751020-0000121545
Component 00000000121566,00001-00004-00003-121566,00003-68068,395308702-121566,1842348748-121566,1141905147-0121566,1857274229-121566,1064524940-00121566,1133754206-121566,789647803-0000121566
Component 00000000062587,00002-00005-62587,00002-00002-00002-22752,1562293872-062587,479285010-062587,1543759795-0062587,575971593-062587,1696048609-00062587,1117476024-062587,1778921402-0000062587
Component 00000000011840,00003-00010-11840,00001-00001-84371,590118607-011840,1975027959-011840,1212453664-0011840,1186229122-011840,704133303-00011840,493774446-011840,2053886135-0000011840
Component 00000000043270,00003-00006-43270,00004-00003-00006-99599,1125101206-043270,1782820284-043270,293055715-0043270,812221784-043270,1818593688-00043270,483362245-043270,2036977473-0000043270
Component 00000000092604,00004-00001-00005-92604,00004-00002-00009-121949,1836441943-092604,88419361-092604,487880426-0092604,809208949-092604,959387271-00092604,1683220240-092604,239814248-0000092604
Component 00000000029335,00005-00007-29335,1436259974,1764899180-029335,1894062940-029335,2023226700-0029335,1586890599-029335,941071799-00029335,1522308719-029335,303766175-0000029335
Component 00000000118339,00004-00004-118339,00002-00004-00004-101287,1037340950-118339,2074603388-118339,964382179-0118339,1952445312-118339,1061100416-00118339,1433814093-118339,484112808-0000118339
Component 00000000083269,00004-00004-00004-83269,00003-00004-00003-107643,1140014245-083269,1173994291-083269,1207974337-0083269,640562829-083269,470662599-00083269,623572806-083269,841874215-0000083269
Component 00000000021202,00002-00006-00012-21202,00004-00003-99414,1282839275-021202,822847379-021202,362855483-0021202,448068789-021202,600544622-00021202,678064737-021202,1727524723-0000021202
Component 00000000024186,00001-00001-00006-24186,00004-00012-59409,754017199-024186,1931389209-024186,961277572-0024186,2021984862-024186,430092106-00024186,1433298857-024186,1564665453-0000024186
Component 00000000079436,00001-00006-79436,00004-00003-00001-339,164078220-079436,1416652995-079436,521744123-0079436,1858154515-079436,2037731581-00079436,158125304-079436,212444084-0000079436
Component 00000000038645,00005-00009-38645,00003-00004-00004-93643,1708842630-038645,576231708-038645,1591104433-0038645,464304088-038645,1832391404-00038645,1030609549-038645,1088241905-0000038645
Component 00000000115412,00002-00003-00011-115412,00002-00004-00003-19282,512700574-115412,652307281-115412,791913988-0115412,1914916746-115412,1216883211-00115412,771371569-115412,69503646-0000115412
Component 00000000122672,00002-00004-00004-122672,00002-00006-00004-99077,890789359-122672,838302547-122672,785815735-0122672,492662624-122672,755096684-00122672,518906030-122672,1023737330-0000122672
Component 00000000106995,00005-106995,00003-00003-00001-30733,843761523-106995,1357150228-106995,1870538933-0106995,1047051775-106995,627591897-00106995,1864099246-106995,1373784074-0000106995
Component 00000000039702,00002-00005-39702,00004-00002-00008-123209,95466681-039702,1561199241-039702,879448154-0039702,316535490-039702,1577807278-00039702,1731152857-039702,2078837116-0000039702
Component 00000000111751,00001-00003-00003-111751,00006-00010-40375,459756919-111751,577720638-111751,695684357-0111751,812288173-111751,222469578-00111751,1827048137-111751,1662819305-0000111751
