Component 00000000089457,00002-00004-00004-89457,00004-00009-33835,13362136-089457,1125092727-089457,89339671-0089457,1318946448-089457,55260787-00089457,1836822976-089457,952352587-0000089457
Component 00000000035479,00004-00003-00002-35479,00002-00002-00002-5007,1282831563-035479,997640075-035479,712448587-0035479,335946277-035479,1761903717-00035479,478542021-035479,1750967938-0000035479
Component 00000000083271,00001-00006-00006-83271,00004-00002-00012-107704,1056798387-083271,792736004-083271,528673621-0083271,60932870-083271,1381244785-00083271,1266705885-083271,1996016349-0000083271
Component 00000000096558,00003-00007-96558,00001-00007-109116,362114166-096558,670139434-096558,978164702-0096558,268954135-096558,876311442-00096558,114941501-096558,2018347801-0000096558
Component 00000000059563,00003-00010-59563,,2004694507-059563,1141841295-059563,278988083-0059563,958503018-059563,977801784-00059563,1389929624-059563,604370619-0000059563
Component 00000000100320,00003-00012-100320,00002-00005-00007-90942,715280192-100320,2091916672-100320,1321069505-0100320,910156415-100320,469424956-00100320,221838175-100320,898427322-0000100320
Component 00000000099780,00002-00005-99780,00002-00002-75805,92007261-099780,1721736313-099780,1203981718-0099780,1824454991-099780,118260672-00099780,1009590465-099780,2007284400-0000099780
Component 00000000060503,00003-00002-00001-60503,00003-00001-00005-87963,159142307-060503,1440497952-060503,574369950-0060503,1101607150-060503,1137279866-00060503,1534671151-060503,673138525-0000060503
Component 00000000020591,00001-00004-00012-20591,00003-00005-00006-82283,639428956-020591,938661111-020591,1237893266-0020591,1193544768-020591,1844867640-00020591,2117670514-020591,401916107-0000020591
Component 00000000021207,00002-00004-00004-21207,00004-00001-00002-99569,168091892-021207,1017934968-021207,1867778044-0021207,583291785-021207,629043699-00021207,158370247-021207,1882637002-0000021207
Component 00000000028398,00003-00006-00006-28398,00002-00006-00002-53822,786191562-028398,1981182475-028398,1028689741-0028398,1834934197-028398,154946926-00028398,163696917-028398,42616095-0000028398
Component 00000000060705,00001-00008-60705,00002-00001-00012-93612,1988988389-060705,691812328-060705,1542119914-0060705,279233370-060705,322662734-00060705,2001563224-060705,2109240576-0000060705
Component 00000000048382,00002-00005-00009-48382,00002-00007-119217,1340150416-048382,15811868-048382,838956967-0048382,1534240248-048382,1713482047-00048382,48925875-048382,500601174-0000048382
Component 00000000113749,00004-00006-00012-113749,00004-00001-00010-96314,1552728089-113749,1947174838-113749,194137940-0113749,282300769-113749,457550671-00113749,1158819218-113749,597080096-0000113749
Component 00000000051842,00002-00011-51842,00002-00002-00012-92507,898200522-051842,1034457265-051842,1170714008-0051842,2137943440-051842,1456659725-00051842,996073245-051842,1666208839-0000051842
Component 00000000042723,00003-00002-00005-42723,00004-00006-84279,2006524510-042723,375294069-042723,891547275-0042723,1275001237-042723,841218854-00042723,1016874634-042723,1953581551-0000042723
Component 00000000032931,00001-00003-00002-32931,00004-00008-57169,1754345887-032931,1327868312-032931,901390737-0032931,1471278146-032931,1456182374-00032931,610775110-032931,327041453-0000032931
Component 00000000114873,00003-00003-00005-114873,00004-00002-00010-4209,215359728-114873,1894668498-114873,1426493621-0114873,57456487-114873,250847225-00114873,1365285749-114873,315346320-0000114873
Component 00000000083170,00003-00009-83170,00001-104910,1789128225-083170,2120404781-083170,304197690-0083170,676172015-083170,1167272882-00083170,510533737-083170,1525401516-0000083170
Component 00000000107516,00001-00003-00006-107516,00004-00003-00005-45349,1171003856-107516,1729299172-107516,140110841-0107516,331039271-107516,1834529985-00107516,51891613-107516,878984383-0000107516
Component 00000000026875,00002-00004-26875,00002-00003-00006-11147,884662147-026875,205307407-026875,1673436314-0026875,148211962-026875,1397502015-00026875,487889332-026875,2030711369-0000026875
Component 00000000095043,00003-00004-95043,00002-00005-00010-66687,1137367456-095043,1153184412-095043,1169001368-0095043,1904489822-095043,1825405042-00095043,1896581344-095043,716146256-0000095043
Component 00000000080709,00004-00006-00005-80709,00005-36015,619551857-080709,680729818-080709,741907779-0080709,365457495-080709,59567690-00080709,1408610338-080709,912289681-0000080709
Component 00000000082771,00001-00003-82771,00001-00006-00006-93736,1206880439-082771,2010848735-082771,667333384-0082771,1544637149-082771,1819762963-00082771,1142653001-082771,72843529-0000082771
Component 00000000056731,00001-00003-00012-56731,00001-00002-105861,717010343-056731,1067343974-056731,1417677605-0056731,1602064094-056731,1997879586-00056731,353155455-056731,1018440-0000056731
Component 00000000060851,00001-00011-60851,00003-97695,711160568-060851,1517880542-060851,177116869-0060851,1182373661-060851,1443741085-00060851,779013674-060851,1096255976-0000060851
Component 00000000036724,00004-00002-00012-36724,00003-00004-39823,89656492-036724,1865631258-036724,1494122377-0036724,325086763-036724,35147521-00036724,1584583027-036724,472673482-0000036724
Component 00000000018514,00004-00006-00002-18514,00001-00011-24165,1898082630-018514,1519559588-018514,1141036546-0018514,719584269-018514,464715832-00018514,908845790-018514,1014585876-0000018514
Component 00000000039213,00003-00006-00005-39213,00002-00007-109545,2144101763-039213,1209299099-039213,274496435-0039213,1903329146-039213,134891525-00039213,223246831-039213,644060938-0000039213
Component 00000000081535,00006-00012-81535,1436259974,1212268404-081535,1699557261-081535,39362471-0081535,149716028-081535,2008239037-00081535,979813423-081535,1386255911-0000081535
Component 00000000008629,00004-00005-00010-8629,00001-00001-00006-11901,1236291465-008629,2024165592-008629,664556072-0008629,1867222802-008629,75335814-00008629,399543915-008629,1792179323-0000008629
Component 00000000105100,00002-00008-105100,00001-00006-00008-101226,1900184511-105100,388080275-105100,1023459686-0105100,1577573063-105100,548159655-00105100,186141534-105100,600624844-0000105100
Component 00000000010097,00002-00003-00009-10097,00004-00001-00012-35554,253689041-010097,1056461152-010097,1859233263-0010097,1607172602-010097,1888279341-00010097,132044723-010097,1692154263-0000010097
Component 00000000048458,00003-00004-00007-48458,00002-00002-121305,1604907207-048458,1581128098-048458,1557348989-0048458,1525362244-048458,1644257789-00048458,463509975-048458,1404732279-0000048458
Component 00000000105836,00001-00003-00003-105836,00002-00004-121797,722644934-105836,278049611-105836,1980937935-0105836,1708350062-105836,1783843030-00105836,856905900-105836,1836219367-0000105836
Component 00000000090109,00004-00005-00006-90109,00004-00005-00004-52134,1020130447-090109,1054503533-090109,1088876619-0090109,539741471-090109,367876041-00090109,522554928-090109,58512741-0000090109
Component 00000000078212,00002-00001-00004-78212,00006-00011-89620,1467394269-078212,385927667-078212,1451944712-0078212,555871600-078212,1668237316-00078212,1096604901-078212,88979313-0000078212
Component 00000000114024,00004-00001-00001-114024,00007-104020,1104864259-114024,559525153-114024,14186047-0114024,425721382-114024,1004933265-00114024,698390935-114024,647815398-0000114024
Component 00000000050103,00003-00004-00001-50103,00004-00009-43845,345937572-050103,2008696239-050103,1523971259-0050103,459096159-050103,735237412-00050103,701458649-050103,384333454-0000050103
Component 00000000078109,00004-00003-00005-78109,00003-00001-00006-86703,921582636-078109,1230419753-078109,1539256870-0078109,1941539105-078109,397353520-00078109,713378723-078109,157725501-0000078109
Component 00000000067306,00001-00001-00005-67306,00003-00001-31318,2067549279-067306,2051222830-067306,2034896381-0067306,201974679-067306,283606924-00067306,1283879727-067306,1064947146-0000067306
Component 00000000064091,00001-00006-00001-64091,00004-00001-64845,198611414-064091,2140843122-064091,1935591183-0064091,2055052431-064091,933828479-00064091,1083936577-064091,27371923-0000064091
Component 00000000031572,00002-00002-00008-31572,00004-00005-00006-19129,620861886-031572,696124557-031572,771387228-0031572,1049875959-031572,673562604-00031572,2085986447-031572,1799639882-0000031572
Component 00000000122321,00001-00003-00004-122321,00001-00004-00011-89191,881314131-122321,312533195-122321,1891235906-0122321,1212726146-122321,1909147179-00122321,1497116614-122321,1755520210-0000122321
Component 00000000013518,00003-00001-00011-13518,00009-7770,2086110161-013518,1940784338-013518,1795458515-0013518,406516863-013518,1133145978-00013518,1552921598-013518,672203908-0000013518
Component 00000000062814,00004-00003-00011-62814,00002-00001-29107,468815654-062814,1716820241-062814,817341181-0062814,1941237831-062814,2143665837-00062814,243493714-062814,2066285240-0000062814
Component 00000000006094,00004-00004-00010-6094,00002-00004-00003-47037,210917698-006094,779451420-006094,1347985142-0006094,2014999451-006094,1319814488-00006094,1730732590-006094,1554493426-0000006094
Component 00000000098250,00005-00009-98250,00003-00003-32945,25882611-098250,1311273226-098250,449180194-0098250,1164043499-098250,1179541365-00098250,1595090015-098250,506945016-0000098250
Component 00000000025170,00005-00002-25170,00003-00006-86950,356088703-025170,731716750-025170,1107344797-0025170,320437983-025170,589781395-00025170,1206365783-025170,1571158678-0000025170
Component 00000000075664,00004-00001-00004-75664,00001-00003-00010-18301,1753564996-075664,1688689772-075664,1623814548-0075664,754600279-075664,1078976399-00075664,787037891-075664,491373056-0000075664
Component 00000000028793,00003-00002-00011-28793,00001-00002-00010-64906,2068363738-028793,19540156-028793,118200221-0028793,1484667773-028793,991367448-00028793,361595917-028793,1163637888-0000028793
Component 00000000070923,00003-00006-00008-70923,97825,103604255-070923,781796801-070923,1459989347-0070923,783688031-070923,1687692595-00070923,444591758-070923,1364429708-0000070923
Component 00000000049144,00004-00004-00004-49144,00006-17010,1544150241-049144,401734254-049144,1406801914-0049144,897807870-049144,167436864-00049144,395274040-049144,931594254-0000049144
Component 00000000101861,00001-00004-00006-101861,00002-00002-00011-10502,1587900456-101861,618982887-101861,1797548965-0101861,766296770-101861,1315917321-00101861,177013731-101861,1746991351-0000101861
Component 00000000097514,00004-00004-00001-97514,00004-00008-12345,159342922-097514,1206625381-097514,106424193-0097514,486676479-097514,1692715125-00097514,1036777073-097514,5646540-0000097514
Component 00000000101015,00005-00005-101015,00001-00006-110376,1897091312-101015,464446375-101015,1179285085-0101015,59546748-101015,780320492-00101015,1849611040-101015,1329870553-0000101015
Component 00000000051600,00003-00003-51600,00002-00002-00004-85752,701609918-051600,727268090-051600,752926262-0051600,1946031260-051600,1817740400-00051600,1933202174-051600,966784463-0000051600
Component 00000000063758,00003-00002-00006-63758,00001-00001-00001-55511,1192881739-063758,299108528-063758,1552818964-0063758,1868295769-063758,2042194530-00063758,1241440551-063758,657272738-0000063758
Component 00000000099993,00003-00005-00010-99993,00001-00001-00004-81761,1577399990-099993,106851393-099993,783786443-0099993,49011563-099993,959303607-00099993,1858027685-099993,1697294270-0000099993
Component 00000000050634,00004-00003-00012-50634,00003-00010-58705,393074401-050634,1301508573-050634,62459098-0050634,1502458803-050634,1255255237-00050634,1048241717-050634,1704092278-0000050634
Component 00000000008868,00003-00006-00002-8868,00002-00003-00006-1137,446090106-008868,907295014-008868,1368499922-0008868,1339691674-008868,1181150781-00008868,1109089220-008868,132365010-0000008868
Component 00000000065076,00001-00004-00011-65076,00003-00002-92445,392036413-065076,948673410-065076,1505310407-0065076,545385180-065076,2057167489-00065076,1340808505-065076,917919435-0000065076
Component 00000000041512,00002-00002-00003-41512,00004-00005-00009-50384,636028548-041512,573087554-041512,510146560-0041512,1878357633-041512,45578956-00041512,1909828130-041512,228635468-0000041512
Component 00000000110195,00001-00007-110195,00003-00008-120323,1360201891-110195,1265025445-110195,1169848999-0110195,1039111554-110195,1514993784-00110195,1086699777-110195,1281269781-0000110195
Component 00000000058379,00004-00006-00009-58379,00003-00001-00006-28463,238099313-058379,501965304-058379,765831295-0058379,1224439818-058379,2052593510-00058379,18764999-058379,317878629-0000058379
Component 00000000053870,00005-00011-53870,00005-00003-25730,1379263538-053870,157179306-053870,1082578721-0053870,90236755-053870,1905690621-00053870,701278871-053870,1025646160-0000053870
Component 00000000040432,00002-00002-40432,00002-00003-00005-20142,1712674297-040432,1704809762-040432,1696945227-0040432,257502526-040432,296825201-00040432,1335176617-040432,1504909975-0000040432
Component 00000000102166,00001-00001-00012-102166,00003-00010-19068,421391507-102166,1737701189-102166,906527224-0102166,1985385321-102166,1846287852-00102166,1327230480-102166,939218538-0000102166
