Component 00000000053045,00006-00005-53045,00004-00009-2674,746050180-053045,1559123691-053045,224713555-0053045,451667994-053045,681267733-00053045,1118873062-053045,866444384-0000053045
Component 00000000093297,00002-00001-00009-93297,00002-17810,1586520939-093297,2104108079-093297,474211572-0093297,919693465-093297,479241412-00093297,660899895-093297,1574366521-0000093297
Component 00000000033467,00002-00005-33467,00001-00003-00011-46161,1456195844-033467,656030847-033467,2003349497-0033467,229157312-033467,2082498650-00033467,1702981634-033467,47611094-0000033467
Component 00000000006827,00002-00002-00002-6827,00001-00001-00007-67516,1878197534-006827,1286024509-006827,693851484-0006827,1351409-006827,814732887-00006827,1371179745-006827,1241511296-0000006827
Component 00000000081386,00001-00004-00006-81386,00003-00003-00011-54988,1860770358-081386,855381014-081386,1997475317-0081386,344027408-081386,1076006834-00081386,846722080-081386,1325463770-0000081386
Component 00000000106591,00001-00002-00004-106591,00001-00009-19405,126368217-106591,149171689-106591,171975161-0106591,1232336609-106591,1118319249-00106591,1220934873-106591,45228344-0000106591
Component 00000000055603,00003-00002-00002-55603,00001-00004-00001-89506,897220802-055603,171186388-055603,1592635621-0055603,44290075-055603,1526978498-00055603,407307282-055603,705557954-0000055603
Component 00000000006096,00001-00006-00012-6096,,1036319198-006096,352900057-006096,1816964563-0006096,1176487388-006096,298615799-00006096,444455135-006096,1094707851-0000006096
Component 00000000000958,00003-00006-00009-958,00003-00003-00002-26743,1359436282-000958,671412278-000958,2130871921-0000958,202526793-000958,1495163166-00000958,546538795-000958,2144373384-0000000958
Component 00000000084297,00002-00003-00005-84297,00002-00005-00005-12927,1424233787-084297,330911159-084297,1385072178-0084297,2085177504-084297,1109339703-00084297,484355171-084297,1256268849-0000084297
Component 00000000050300,00005-00003-50300,00004-00005-49340,772082349-050300,1904722517-050300,889879038-0050300,2018039322-050300,649805776-00050300,1451719238-050300,1385756514-0000050300
Component 00000000095951,00001-00002-00011-95951,00003-00004-00007-92138,2140457606-095951,1398703724-095951,656949842-0095951,525132681-095951,2086418444-00095951,896009622-095951,1817215455-0000095951
Component 00000000068578,00003-00006-00003-68578,00002-00004-00012-108497,1956645506-068578,1810533764-068578,1664422022-0068578,1312676960-068578,2043235670-00068578,1385732831-068578,1794612766-0000068578
Component 00000000056505,00001-00007-56505,00004-00001-00002-99569,1084033993-056505,1953609120-056505,675700600-0056505,1382496536-056505,1329588195-00056505,2021450796-056505,1479486503-0000056505
Component 00000000069591,00001-00004-00002-69591,00001-00005-00002-95331,1125714960-069591,242266177-069591,1506301041-0069591,154380101-069591,276656722-00069591,1669846316-069591,1044426695-0000069591
Component 00000000071352,00002-00001-00008-71352,00001-00003-00006-98416,44764049-071352,1031652131-071352,2018540213-0071352,664195792-071352,24722676-00071352,170751751-071352,2049704087-0000071352
Component 00000000057630,00006-00001-57630,00002-00002-00004-7492,602155366-057630,832967981-057630,1063780596-0057630,2132890782-057630,978827707-00057630,943742651-057630,474674429-0000057630
Component 00000000068815,00005-00006-68815,00004-00003-00001-73594,1253812786-068815,1418709226-068815,1583605666-0068815,661355538-068815,1984356985-00068815,578907318-068815,817350337-0000068815
Component 00000000076025,00005-00001-76025,00001-00005-28371,197196308-076025,530011221-076025,862826134-0076025,232592236-076025,716001318-00076025,1139926603-076025,65209921-0000076025
Component 00000000123335,00002-00004-123335,00004-00003-00004-117589,1281962825-123335,110662681-123335,1086846184-0123335,308480663-123335,1870014089-00123335,894130735-123335,1967020564-0000123335
Component 00000000023304,00004-00001-00008-23304,00005-00002-34725,1422459203-023304,598071895-023304,1921168234-0023304,94380411-023304,2068833304-00023304,506574065-023304,1461541679-0000023304
Component 00000000105158,00003-00004-00001-105158,00002-00004-00001-102792,490649400-105158,1646052685-105158,653972323-0105158,1766875724-105158,284826593-00105158,115432258-105158,1915789849-0000105158
Component 00000000039880,00001-00009-39880,00002-00001-00003-63092,847244866-039880,545677593-039880,244110320-0039880,179875831-039880,1687712196-00039880,1404401291-039880,631834545-0000039880
Component 00000000120041,00001-00005-00012-120041,00002-00003-00003-25392,689352179-120041,1015210450-120041,1341068721-0120041,387350970-120041,905543262-00120041,1298163658-120041,1971606891-0000120041
Component 00000000122760,00001-00001-122760,00003-00005-00003-101533,140450305-122760,2129237089-122760,1970540226-0122760,2107328861-122760,753329529-00122760,1112935469-122760,1524115106-0000122760
Component 00000000056306,00001-00005-00003-56306,00001-00006-00004-93981,696890578-056306,933636582-056306,1170382586-0056306,1441653537-056306,257923517-00056306,1323280535-056306,911751701-0000056306
Component 00000000043591,00001-00002-00002-43591,00003-108563,1502272945-043591,2026582008-043591,403407424-0043591,87716913-043591,1761138892-00043591,899304205-043591,1601942625-0000043591
Component 00000000120586,00001-00004-00011-120586,00001-00002-40651,804564706-120586,54241878-120586,1451402697-0120586,921129547-120586,377776393-00120586,1296290961-120586,1608927166-0000120586
Component 00000000065022,00002-00006-00009-65022,00002-00011-90972,1859257740-065022,494986054-065022,1278198015-0065022,116590379-065022,495497868-00065022,798726222-065022,546945998-0000065022
Component 00000000001955,00002-00005-1955,00001-00002-00012-54651,1669675609-001955,473153725-001955,1424115488-0001955,1620422704-001955,1160581183-00001955,71199999-001955,330974764-0000001955
Component 00000000037082,00002-00003-00006-37082,00003-00006-00003-49923,49581614-037082,1014540923-037082,1979500232-0037082,679209690-037082,149380439-00037082,1270471859-037082,283706085-0000037082
Component 00000000081034,00004-00002-00005-81034,00002-00006-00001-45072,1932315832-081034,1869661390-081034,1807006948-0081034,1041059042-081034,1354331252-00081034,1072386263-081034,1409768574-0000081034
Component 00000000007337,00002-00001-00005-7337,00003-00001-81823,259363806-007337,492607559-007337,725851312-0007337,1908009415-007337,741790650-00007337,717645715-007337,1276815802-0000007337
Component 00000000093717,00002-00001-93717,00004-00003-00011-29599,1383285957-093717,1121443887-093717,859601817-0093717,1568847444-093717,730574147-00093717,1699768479-093717,946643907-0000093717
Component 00000000013385,00001-00008-13385,00004-00001-00011-4054,1496154186-013385,664274391-013385,1979878243-0013385,878431598-013385,742863279-00013385,220629672-013385,1770243795-0000013385
Component 00000000031273,00003-00004-00008-31273,00003-00005-00001-10778,520893390-031273,534458473-031273,548023556-0031273,105058092-031273,37232677-00031273,1172017374-031273,600839379-0000031273
Component 00000000039075,00001-00010-39075,00003-00006-00001-105678,1982976627-039075,2062522934-039075,2142069241-0039075,472263399-039075,74531864-00039075,1506232069-039075,1727805079-0000039075
Component 00000000094223,00003-00003-00012-94223,00002-00004-00011-43782,1041958122-094223,573023212-094223,104088302-0094223,1920935104-094223,2118126007-00094223,7918912-094223,1526226793-0000094223
Component 00000000110658,00003-00002-00002-110658,00004-00002-00006-9704,63947240-110658,1864809595-110658,1518188303-0110658,432683754-110658,18306567-00110658,605994400-110658,1628043721-0000110658
Component 00000000023496,00001-00004-00005-23496,00003-00002-00006-40098,468677033-023496,1686117694-023496,756074708-0023496,458748799-023496,813996435-00023496,923770292-023496,1486638086-0000023496
Component 00000000106824,00004-00004-00003-106824,00001-00006-25915,1251569577-106824,149644259-106824,1195202588-0106824,1495282829-106824,562458478-00106824,2046245488-106824,1421329353-0000106824
Component 00000000030319,00004-00002-00003-30319,00002-00001-00011-107612,71331366-030319,220847610-030319,370363854-0030319,880418259-030319,132837039-00030319,805660137-030319,1132347654-0000030319
Component 00000000049398,00003-00006-00011-49398,00003-00002-00001-24103,1274316762-049398,1485719177-049398,1697121592-0049398,1863657478-049398,806645403-00049398,684214447-049398,81263474-0000049398
Component 00000000042282,00002-00002-00006-42282,00001-00002-71905,1877824574-042282,710897891-042282,1691454855-0042282,42713447-042282,1582379568-00042282,1699918612-042282,1442051222-0000042282
Component 00000000006084,00004-00001-6084,00005-00008-46730,1484984906-006084,1326937501-006084,1168890096-0006084,1335878528-006084,2126115553-00006084,341160407-006084,550314456-0000006084
Component 00000000065809,00004-00002-00003-65809,00004-00002-00010-112954,1493211074-065809,1949473672-065809,258252623-0065809,2147110607-065809,2013281264-00065809,1918979308-065809,546319680-0000065809
Component 00000000069721,00001-00001-00002-69721,00005-00003-98985,549947432-069721,2118674265-069721,1539917451-0069721,397529364-069721,1143829787-00069721,686907771-069721,606346318-0000069721
Component 00000000120216,00001-00005-00005-120216,00004-00001-00001-30304,1458543746-120216,947253297-120216,435962848-0120216,1357018910-120216,1765987508-00120216,538922311-120216,1199194038-0000120216
Component 00000000020163,00003-00003-20163,00004-00003-00009-70339,1405245503-020163,1771122578-020163,2136999653-0020163,896672641-020163,1214770913-00020163,1787475927-020163,1678163449-0000020163
Component 00000000040353,00003-00005-00001-40353,00003-00006-00006-17933,66378914-040353,873155079-040353,1679931244-0040353,1614059094-040353,1875145563-00040353,136929188-040353,296890144-0000040353
Component 00000000032724,00004-00006-00003-32724,00001-00002-00007-51396,203949047-032724,1049553497-032724,1895157947-0032724,413575579-032724,480520623-00032724,2138257001-032724,475730777-0000032724
Component 00000000052392,00002-00004-00002-52392,00004-00006-107919,1870388973-052392,125828424-052392,528751522-0052392,2084806403-052392,70190913-00052392,1883344854-052392,1233575589-0000052392
Component 00000000053134,00004-00004-00003-53134,00004-00011-5159,1780709286-053134,1719666583-053134,1658623880-0053134,2041363661-053134,199093529-00053134,998143189-053134,1061333639-0000053134
Component 00000000001386,00001-00008-1386,00003-00003-00008-38748,1785729405-001386,1527067536-001386,1268405667-0001386,1051788817-001386,197614515-00001386,107377928-001386,1996907055-0000001386
Component 00000000032963,00003-00008-32963,00004-00006-58090,2146953006-032963,1954781596-032963,1762610186-0032963,1416574209-032963,229947612-00032963,1512659914-032963,1793145703-0000032963
Component 00000000107723,00003-00005-107723,00006-00004-51120,1944601630-107723,735964598-107723,1674811213-0107723,1307764047-107723,908498266-00107723,1912082563-107723,1837775715-0000107723
Component 00000000013007,00002-00001-00007-13007,00002-00004-00011-117037,362123035-013007,1212090622-013007,2062058209-0013007,1857103535-013007,1902232894-00013007,358377918-013007,1526572680-0000013007
Component 00000000100299,00004-00003-00004-100299,00002-00001-00007-90357,1337576432-100299,1480789165-100299,1624001898-0100299,767201218-100299,51137553-00100299,1769336675-100299,2022459177-0000100299
Component 00000000077793,00003-00002-00001-77793,00003-00004-00010-77893,1741409092-077793,115949733-077793,637974021-0077793,1289783296-077793,827145503-00077793,1028771152-077793,972964328-0000077793
Component 00000000104354,00004-00005-00003-104354,00004-00003-00009-80349,2015045497-104354,789945464-104354,1712329078-0104354,1653494189-104354,1336543413-00104354,1192302382-104354,1095388377-0000104354
Component 00000000106466,00001-00003-00009-106466,00001-00002-00007-15906,1151190692-106466,2033035881-106466,767397423-0106466,2044751242-106466,1930492591-00106466,530086824-106466,1272297762-0000106466
Component 00000000067181,00001-00002-00010-67181,00004-00003-00003-27849,643456002-067181,2145907731-067181,1500875813-0067181,1571662684-067181,501854980-00067181,1894178643-067181,459286559-0000067181
Component 00000000030387,00002-00006-30387,00001-00001-00004-109516,1897212356-030387,509319063-030387,1268909417-0030387,82638879-030387,579654403-00030387,1850327349-030387,1815988966-0000030387
Component 00000000100427,00002-00005-00002-100427,00003-00006-00006-93918,445352513-100427,821739939-100427,1198127365-0100427,1520273498-100427,1785820015-00100427,1332079785-100427,180598420-0000100427
Component 00000000004098,00003-00003-00003-4098,00003-00006-114673,871847163-004098,1435595281-004098,1999343399-0004098,296343475-004098,1772570179-00004098,14469416-004098,1423986008-0000004098
Component 00000000000389,00004-00004-00012-389,00002-00007-10810,628477058-000389,226510166-000389,1972026921-0000389,460435619-000389,322786432-00000389,661419065-000389,430985311-0000000389
Component 00000000121772,00002-00001-121772,00004-73840,703665239-121772,1675486188-121772,499823490-0121772,1666082855-121772,1101945404-00121772,106430557-121772,1344601114-0000121772
Component 00000000055329,00004-00001-00001-55329,00004-00003-00008-66594,1948869859-055329,1105281599-055329,261693339-0055329,1837028542-055329,1760002548-00055329,111339025-055329,1284167393-0000055329
Component 00000000099571,00001-00003-00004-99571,00001-00009-69910,695874442-099571,600416053-099571,504957664-0099571,1434851693-099571,1912143638-00099571,408839064-099571,916925344-0000099571
Component 00000000101724,00004-00012-101724,00004-00008-6664,682315975-101724,677088644-101724,671861313-0101724,1502532245-101724,1528668900-00101724,431404087-101724,197277698-0000101724
